dataset,instance,Budget,variant,HV_common,rank
Brandimarte,Mk01.fjs,default,AdaptiveNoBC,1.0926650785216974,4.0
Brandimarte,Mk01.fjs,default,AdaptivePursuit,1.040423306326742,9.0
Brandimarte,Mk01.fjs,default,AdaptiveSAOS,1.1001175127350287,1.0
Brandimarte,Mk01.fjs,default,FixedUCBPPO,1.0986952799158063,2.0
Brandimarte,Mk01.fjs,default,PPOOnly,1.0657624314052754,7.0
Brandimarte,Mk01.fjs,default,ProbabilityMatching,1.0072171722557655,10.0
Brandimarte,Mk01.fjs,default,Random,1.0549107020399737,8.0
Brandimarte,Mk01.fjs,default,RandomUCBPPO,1.0915322814893287,5.0
Brandimarte,Mk01.fjs,default,UCBOnly,1.0971396198269678,3.0
Brandimarte,Mk01.fjs,default,UniformFixed,1.0762038963541107,6.0
Brandimarte,Mk02.fjs,default,AdaptiveNoBC,0.9855393456497026,6.0
Brandimarte,Mk02.fjs,default,AdaptivePursuit,0.8944152850787555,10.0
Brandimarte,Mk02.fjs,default,AdaptiveSAOS,1.00133074696611,2.0
Brandimarte,Mk02.fjs,default,FixedUCBPPO,1.045618124038249,1.0
Brandimarte,Mk02.fjs,default,PPOOnly,0.9751089989053972,9.0
Brandimarte,Mk02.fjs,default,ProbabilityMatching,0.9800992832716076,7.0
Brandimarte,Mk02.fjs,default,Random,0.99027557262613,5.0
Brandimarte,Mk02.fjs,default,RandomUCBPPO,0.9797095101701799,8.0
Brandimarte,Mk02.fjs,default,UCBOnly,0.998258422662838,3.0
Brandimarte,Mk02.fjs,default,UniformFixed,0.996762809755589,4.0
Brandimarte,Mk03.fjs,default,AdaptiveNoBC,0.9016051220539897,2.0
Brandimarte,Mk03.fjs,default,AdaptivePursuit,0.9366091280170419,1.0
Brandimarte,Mk03.fjs,default,AdaptiveSAOS,0.8904342169486468,7.0
Brandimarte,Mk03.fjs,default,FixedUCBPPO,0.8967478655342628,5.0
Brandimarte,Mk03.fjs,default,PPOOnly,0.8860100890547766,8.0
Brandimarte,Mk03.fjs,default,ProbabilityMatching,0.8832193117101206,9.0
Brandimarte,Mk03.fjs,default,Random,0.8815157380949556,10.0
Brandimarte,Mk03.fjs,default,RandomUCBPPO,0.8911931341687549,6.0
Brandimarte,Mk03.fjs,default,UCBOnly,0.8980248588184652,3.0
Brandimarte,Mk03.fjs,default,UniformFixed,0.8979131409973189,4.0
Brandimarte,Mk04.fjs,default,AdaptiveNoBC,0.9359813045700909,1.0
Brandimarte,Mk04.fjs,default,AdaptivePursuit,0.8676414982576948,9.0
Brandimarte,Mk04.fjs,default,AdaptiveSAOS,0.9220550213254992,4.0
Brandimarte,Mk04.fjs,default,FixedUCBPPO,0.9253365370198736,3.0
Brandimarte,Mk04.fjs,default,PPOOnly,0.8858040292316534,8.0
Brandimarte,Mk04.fjs,default,ProbabilityMatching,0.865202018214651,10.0
Brandimarte,Mk04.fjs,default,Random,0.9007837868089463,6.0
Brandimarte,Mk04.fjs,default,RandomUCBPPO,0.9156931110549935,5.0
Brandimarte,Mk04.fjs,default,UCBOnly,0.9292898698930099,2.0
Brandimarte,Mk04.fjs,default,UniformFixed,0.8936520224557063,7.0
Brandimarte,Mk05.fjs,default,AdaptiveNoBC,0.9583752912888103,6.0
Brandimarte,Mk05.fjs,default,AdaptivePursuit,0.8458049409384575,10.0
Brandimarte,Mk05.fjs,default,AdaptiveSAOS,0.9384979225036687,9.0
Brandimarte,Mk05.fjs,default,FixedUCBPPO,1.0248618970696755,2.0
Brandimarte,Mk05.fjs,default,PPOOnly,0.976032157359372,5.0
Brandimarte,Mk05.fjs,default,ProbabilityMatching,0.9420684042347703,8.0
Brandimarte,Mk05.fjs,default,Random,1.0286286147017671,1.0
Brandimarte,Mk05.fjs,default,RandomUCBPPO,0.9825050397324395,4.0
Brandimarte,Mk05.fjs,default,UCBOnly,0.9907271256106547,3.0
Brandimarte,Mk05.fjs,default,UniformFixed,0.9512353741217718,7.0
Brandimarte,Mk06.fjs,default,AdaptiveNoBC,0.811059820503437,3.0
Brandimarte,Mk06.fjs,default,AdaptivePursuit,0.8899572657398838,1.0
Brandimarte,Mk06.fjs,default,AdaptiveSAOS,0.8002877635029815,7.0
Brandimarte,Mk06.fjs,default,FixedUCBPPO,0.807834366127309,5.0
Brandimarte,Mk06.fjs,default,PPOOnly,0.8087462515847603,4.0
Brandimarte,Mk06.fjs,default,ProbabilityMatching,0.8517569485059047,2.0
Brandimarte,Mk06.fjs,default,Random,0.7829941647784314,9.0
Brandimarte,Mk06.fjs,default,RandomUCBPPO,0.7984426703793194,8.0
Brandimarte,Mk06.fjs,default,UCBOnly,0.8045942579181429,6.0
Brandimarte,Mk06.fjs,default,UniformFixed,0.780303136251403,10.0
Brandimarte,Mk07.fjs,default,AdaptiveNoBC,1.080387627197084,7.0
Brandimarte,Mk07.fjs,default,AdaptivePursuit,1.0514132747857379,9.0
Brandimarte,Mk07.fjs,default,AdaptiveSAOS,1.08100459845133,6.0
Brandimarte,Mk07.fjs,default,FixedUCBPPO,1.0997802109516246,2.0
Brandimarte,Mk07.fjs,default,PPOOnly,1.0697070686126449,8.0
Brandimarte,Mk07.fjs,default,ProbabilityMatching,1.0511394539133376,10.0
Brandimarte,Mk07.fjs,default,Random,1.108107677867372,1.0
