variant,independent_unit,instances,HV_common_mean_of_instance_medians,HV_common_median_of_instance_medians,HV_common_q1_of_instance_medians,HV_common_q3_of_instance_medians,HV_common_iqr_of_instance_medians,HV_common_bootstrap_mean_ci95_low,HV_common_bootstrap_mean_ci95_high,Cmax_best_mean_of_instance_medians,Cmax_best_median_of_instance_medians,Cmax_best_q1_of_instance_medians,Cmax_best_q3_of_instance_medians,Cmax_best_iqr_of_instance_medians,Cmax_best_bootstrap_mean_ci95_low,Cmax_best_bootstrap_mean_ci95_high,TEC_best_mean_of_instance_medians,TEC_best_median_of_instance_medians,TEC_best_q1_of_instance_medians,TEC_best_q3_of_instance_medians,TEC_best_iqr_of_instance_medians,TEC_best_bootstrap_mean_ci95_low,TEC_best_bootstrap_mean_ci95_high,WB_best_mean_of_instance_medians,WB_best_median_of_instance_medians,WB_best_q1_of_instance_medians,WB_best_q3_of_instance_medians,WB_best_iqr_of_instance_medians,WB_best_bootstrap_mean_ci95_low,WB_best_bootstrap_mean_ci95_high,NSol_mean_of_instance_medians,NSol_median_of_instance_medians,NSol_q1_of_instance_medians,NSol_q3_of_instance_medians,NSol_iqr_of_instance_medians,NSol_bootstrap_mean_ci95_low,NSol_bootstrap_mean_ci95_high,Time_mean_of_instance_medians,Time_median_of_instance_medians,Time_q1_of_instance_medians,Time_q3_of_instance_medians,Time_iqr_of_instance_medians,Time_bootstrap_mean_ci95_low,Time_bootstrap_mean_ci95_high
AdaptiveNoBC,instance,50,1.0681844386786894,1.082721804751668,1.0107921903081756,1.1216779699516932,0.11088577964351765,1.0427187626817316,1.091982151790521,1637.4374812991473,1440.5556892012428,793.9211802882504,2534.5570894044004,1740.6359091161498,1350.3964373550248,1939.8561512800777,70139.09433155198,52473.77183666685,26917.50431072007,114051.24593864674,87133.74162792668,55328.71067884833,85489.3358674145,140.24999999999957,94.49999999999929,53.4999999999996,196.49999999999955,142.99999999999994,107.89999999999968,174.54299999999958,27.59,20.75,14.0,32.25,18.25,22.64975,33.140249999999995,89.05090812683106,83.5653817653656,63.185675114393234,115.15404862165451,51.968373507261276,79.27750783813,99.46073129928112
AdaptivePursuit,instance,50,0.8880104270459981,0.8993496800919407,0.816906177047596,0.9763559263121582,0.15944974926456212,0.8497694434945409,0.9241319557866206,1738.8156799223198,1535.3241080404978,821.3773083270451,2704.534178532207,1883.156870205162,1429.4366515865227,2052.5787889273165,71923.1503100429,53575.21000605951,27151.028468997556,117355.9638711685,90204.93540217094,56819.19962953323,87346.79218758889,143.50999999999968,101.24999999999955,69.37499999999953,196.49999999999972,127.12500000000018,111.84849999999972,178.3207499999996,27.62,17.75,12.0,30.125,18.125,21.44975,34.46,86.37922240018844,81.12925612926483,60.37797835469246,114.20706385374069,53.82908549904823,76.37489607459307,96.37528888535499
AdaptiveSAOS,instance,50,1.05805583231491,1.0709525077498712,1.002758959111581,1.1144817602102326,0.11172280109865151,1.031864017048347,1.0832205659017495,1643.8711535282462,1455.1170246864565,795.523103746988,2542.2314890775215,1746.7083853305335,1362.5227206051786,1940.4284641655597,70222.0061628644,52520.29017997488,26912.184178034833,114188.58577180168,87276.40159376684,55551.9569484173,85667.2964603508,140.32999999999956,94.49999999999963,53.624999999999574,196.49999999999952,142.87499999999994,108.8199999999996,176.32024999999953,26.56,20.75,14.125,29.375,15.25,22.049750000000003,31.5,89.86500934123993,84.75814044475555,62.83788511157036,115.06509098410606,52.227205872535706,79.79066432207823,100.36064462167023
FixedUCBPPO,instance,50,1.0667210982862454,1.085950225711001,1.01573550362395,1.1293825253882936,0.11364702176434371,1.0420872142884563,1.0901121132066824,1639.6524499404293,1443.1420687031277,789.376122191461,2563.9064393373737,1774.5303171459127,1346.9493653048467,1937.790022128119,70207.45430644837,52418.93364841666,26960.651214246303,114452.85741818206,87492.20620393576,55801.53986557809,85575.09445652942,140.21999999999957,94.49999999999952,53.49999999999952,196.4999999999995,142.99999999999997,108.48774999999966,174.63024999999948,26.83,20.75,13.625,33.75,20.125,22.089750000000002,31.97,89.6429974102974,86.94543671607971,63.411451637744904,115.30787110328674,51.89641946554184,79.66414182525872,99.80165312683582
PPOOnly,instance,50,1.0320175000847847,1.056964412955847,0.9757482465287585,1.1065980379120104,0.13084979138325192,1.0031552704539175,1.05996251808837,1655.575115072907,1442.4471444328967,781.2300936847753,2552.152154372982,1770.9220606882066,1357.3569851590867,1958.7460070768689,70490.95944419749,52491.05511919726,27062.04523363441,114890.14755277045,87828.10231913603,55647.29936615358,85682.93116137918,140.0699999999996,94.49999999999937,55.374999999999545,196.49999999999955,141.125,108.41999999999969,174.92024999999956,27.78,21.25,14.5,31.75,17.25,23.169750000000004,32.78,89.7064098072052,85.58877098560333,63.54064729809761,115.042116522789,51.50146922469139,79.89422490102054,100.24083600407839
ProbabilityMatching,instance,50,0.9850095826636551,0.9967986683869174,0.9041207162409963,1.0791140796356573,0.17499336339466098,0.9526806410159439,1.0162602989824572,1682.000109564618,1477.8772947878733,789.7505222768921,2614.133593743834,1824.3830714669418,1392.2755506020062,1992.6429678278303,70924.52461246528,52957.906858888426,26906.68435274947,114928.06973869159,88021.38538594212,56025.98094092262,86551.12182624711,141.9099999999996,102.9999999999995,57.37499999999967,196.4999999999996,139.12499999999994,109.75949999999968,177.43124999999955,25.59,19.5,13.625,30.375,16.75,21.159750000000003,30.72,87.30014495849609,85.00241142511368,62.22113361954689,113.13710871338846,50.91597509384157,77.67887766051292,97.44205885201691
Random,instance,50,1.0418171828764138,1.0552886717646173,0.997026166995394,1.1173810291996125,0.12035486220421843,1.0130718729203958,1.0686035715818702,1650.7388392322987,1453.9170432350927,785.8119689183425,2571.45527358921,1785.6433046708673,1361.4916763251815,1949.0087263577395,70393.59715482644,52483.57905766714,27033.48294444054,114614.95803215358,87581.47508771304,55812.41020051537,85800.1193875432,140.7599999999996,96.7499999999996,53.87499999999969,196.4999999999996,142.62499999999991,108.9964999999997,175.71074999999954,27.03,21.75,14.625,32.0,17.375,22.64,32.07,89.2524340415001,86.87880212068558,63.11926504969597,113.71575343608856,50.59648838639259,79.42270522236824,99.52455078458786
RandomUCBPPO,instance,50,1.0555276755632164,1.0795115331777048,0.9929090479423514,1.1152470075911634,0.122337959648812,1.0291420185537588,1.0803161921747955,1647.637366037539,1456.1138917840392,788.4311986196419,2535.775855504577,1747.3446568849351,1356.3128787062467,1950.2106913430453,70258.2658379697,52516.03257497927,26843.984757235314,114088.20489241363,87244.22013517832,55612.61465894941,85529.03921686485,140.4199999999996,94.49999999999943,58.74999999999943,196.49999999999955,137.7500000000001,109.0494999999996,175.23049999999955,26.54,22.5,14.5,30.0,15.5,21.83,31.720249999999997,88.91425883769989,87.78206259012222,63.104663491249084,113.29954615235329,50.1948826611042,79.43657708704471,98.86731978529691
UCBOnly,instance,50,1.0715788942223639,1.0824813340224768,1.0218034462973453,1.1306015186247202,0.10879807232737493,1.047240599658833,1.0953864336358963,1638.405289327709,1442.8435609943463,793.9521898979315,2534.821362510082,1740.8691726121506,1348.2510132165094,1941.5655977785696,70112.84906952742,52491.75237070174,26909.76997240116,113809.4070809417,86899.63710854054,55515.35176156522,85587.62928008604,140.1599999999996,94.49999999999957,53.49999999999963,196.49999999999957,142.99999999999994,108.85974999999962,174.40074999999953,29.0,21.75,14.5,34.0,19.5,23.84,34.740249999999996,89.25908882617951,87.01076000928879,62.726539969444275,113.02923783659935,50.302697867155075,79.41386350780726,99.50852121955155
UniformFixed,instance,50,1.0486776782726086,1.0745171349397191,1.0006185560952108,1.1225629832146349,0.1219444271194241,1.0191690078118918,1.0763799409056813,1649.4422426501703,1447.6939285713736,789.8678984439907,2511.8543023537877,1721.986403909797,1353.2026079725022,1948.3478529953445,70317.71142204537,52379.2153921171,27007.269808450146,114719.96956354394,87712.6997550938,55332.90537779488,85514.0810149212,140.33999999999958,96.74999999999952,53.499999999999616,196.49999999999946,142.99999999999983,108.27974999999967,176.2402499999995,27.89,20.25,15.5,32.375,16.875,23.01,33.25,88.41174222946167,78.7406924366951,63.00856724381447,113.96519148349762,50.95662423968315,78.48812495446205,99.12097065836191
