Budget,variant,mean_rank,rank_sd,independent_blocks
default,UCBOnly,3.38,1.736639964801841,50
default,AdaptiveNoBC,3.66,2.1054836082215873,50
default,FixedUCBPPO,3.76,1.954168751721325,50
default,AdaptiveSAOS,4.72,2.1856675998748885,50
default,UniformFixed,4.94,2.867196597118972,50
default,RandomUCBPPO,5.02,1.9004832897697042,50
default,Random,5.82,2.7898504092733094,50
default,PPOOnly,6.52,2.3581383179386686,50
default,ProbabilityMatching,7.86,2.0899174868977046,50
default,AdaptivePursuit,9.32,2.1327380121738884,50
