dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk01.fjs,AdaptiveNoBC,1.0926650785216974,62.25983148900634,1794.6987744429396,12.99999999999999,87.0,48.94380986690521,70.0,2.0,0.0,0.9113885281793208,10
Brandimarte,Mk01.fjs,AdaptivePursuit,1.040423306326742,64.01196025394464,1807.5153078633668,12.999999999999998,92.5,48.78048574924469,-1.0,0.0,0.0,0.48795475042021663,10
Brandimarte,Mk01.fjs,AdaptiveSAOS,1.1001175127350287,61.741130376720804,1793.0924409505062,12.999999999999991,77.0,49.884995460510254,70.0,2.0,0.3062500059604645,0.8200130596015762,10
Brandimarte,Mk01.fjs,FixedUCBPPO,1.0986952799158063,61.74571007047534,1789.5608028320262,12.999999999999991,71.0,49.83000731468201,48.0,4.0,0.3541666567325592,0.8326361203320871,10
Brandimarte,Mk01.fjs,PPOOnly,1.0657624314052754,62.35992317847614,1803.7827561929962,12.99999999999999,76.0,50.54892349243164,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk01.fjs,ProbabilityMatching,1.0072171722557655,64.16317269114857,1818.0516228049662,12.999999999999998,72.0,48.05334937572479,-1.0,0.0,0.0,0.8541202772037166,10
Brandimarte,Mk01.fjs,Random,1.0549107020399737,64.771179141819,1797.2529947426322,12.99999999999999,82.0,48.547985911369324,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk01.fjs,RandomUCBPPO,1.0915322814893287,62.966804557953054,1787.8453865363526,12.999999999999991,88.5,48.96624720096588,55.5,3.5,0.35599078238010406,0.8117091242345039,10
Brandimarte,Mk01.fjs,UCBOnly,1.0971396198269678,62.598422448153904,1793.0579321566852,12.999999999999991,84.5,48.79594326019287,-1.0,0.0,0.0,0.9943189054624233,10
Brandimarte,Mk01.fjs,UniformFixed,1.0762038963541107,63.8272186475424,1789.4787197699445,12.99999999999999,91.5,49.25137758255005,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk02.fjs,AdaptiveNoBC,0.9855393456497026,50.330142040767505,1628.082958186654,1.9999999999999947,48.5,50.180490612983704,70.0,2.0,0.0,0.8992747765533138,10
Brandimarte,Mk02.fjs,AdaptivePursuit,0.8944152850787555,51.59737491229636,1642.0762286945956,2.999999999999986,77.0,50.64542067050934,-1.0,0.0,0.0,0.4403730543625035,10
Brandimarte,Mk02.fjs,AdaptiveSAOS,1.00133074696611,49.422945523344254,1615.2674656240397,1.999999999999993,46.0,50.65175926685333,70.0,2.0,0.321428582072258,0.8168330579980341,10
Brandimarte,Mk02.fjs,FixedUCBPPO,1.045618124038249,49.429369367964576,1625.179413719808,1.9999999999999947,53.0,50.9477698802948,48.0,4.0,0.3645833283662796,0.8390687774205176,10
Brandimarte,Mk02.fjs,PPOOnly,0.9751089989053972,50.41403770567044,1623.3590711826992,1.9999999999999911,47.5,50.61130726337433,-1.0,7.0,0.0,0.8926477176880758,10
Brandimarte,Mk02.fjs,ProbabilityMatching,0.9800992832716076,50.920955636326596,1627.7461137016458,1.9999999999999964,54.5,49.35150587558746,-1.0,0.0,0.0,0.8504309664956706,10
Brandimarte,Mk02.fjs,Random,0.99027557262613,49.81812010878325,1623.1676742341137,2.999999999999986,47.0,49.85099160671234,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk02.fjs,RandomUCBPPO,0.9797095101701799,50.53424282605927,1627.447714504854,1.999999999999993,48.5,50.63566482067108,55.5,3.5,0.37959183752536774,0.845501434508948,10
Brandimarte,Mk02.fjs,UCBOnly,0.998258422662838,49.71198494444772,1622.0192786892885,1.9999999999999964,56.0,50.51955246925355,-1.0,0.0,0.0,0.9943189054624233,10
Brandimarte,Mk02.fjs,UniformFixed,0.996762809755589,50.17565738378093,1623.4285096230878,1.9999999999999911,55.5,50.78130221366882,-1.0,0.0,0.0,0.9999999999999998,10
