dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Brandimarte,Mk01.fjs,Random,composite,49,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed49.pkl,61,61,0.24342851734309992,-0.03331614643530759,computed
Brandimarte,Mk01.fjs,Random,composite,44,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed44.pkl,90,90,-0.23820540210450786,-0.2671764837730093,computed
Brandimarte,Mk01.fjs,Random,composite,43,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed43.pkl,72,72,-0.17217783668251893,-0.18928023040206213,computed
Brandimarte,Mk01.fjs,Random,composite,48,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed48.pkl,60,60,-0.30811337850454645,-0.27733088820248225,computed
Brandimarte,Mk01.fjs,Random,composite,50,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed50.pkl,89,89,0.27580803485369765,0.2915244426769104,computed
Brandimarte,Mk01.fjs,Random,composite,46,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed46.pkl,95,95,-0.07243702767716138,-0.14072293208493125,computed
Brandimarte,Mk01.fjs,Random,composite,51,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed51.pkl,81,81,-0.13022292543245853,-0.3474028906955736,computed
Brandimarte,Mk01.fjs,Random,composite,42,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed42.pkl,62,62,-0.3366921273319823,-0.4600042810200827,computed
Brandimarte,Mk01.fjs,Random,composite,45,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed45.pkl,96,96,-0.03905752532228728,-0.199927427378368,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,42,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed42.pkl,70,70,-0.7206170786193201,-0.7941456928454774,computed
Brandimarte,Mk01.fjs,Random,composite,47,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed47.pkl,83,83,-0.07188952474756335,-0.19964946164218536,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,43,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed43.pkl,82,82,-0.550109946208753,-0.5310353836193195,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,48,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed48.pkl,70,70,-0.3313447277240732,-0.3247134983815939,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,44,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed44.pkl,100,100,0.29615023297038606,0.24136575708922203,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,49,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed49.pkl,74,74,-0.3588046042849863,-0.24273390368001677,computed
Brandimarte,Mk01.fjs,UniformFixed,composite,47,results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed47.pkl,100,100,-0.11512253683202524,-0.13190598203647041,computed
