dataset,instance,Budget,variant,HV_common,rank
Brandimarte,Mk01.fjs,default,R1_survival_only,0.9623148071482108,3.0
Brandimarte,Mk01.fjs,default,R2_hv_only,0.9552523117246665,4.0
Brandimarte,Mk01.fjs,default,R3_cmax_only,0.9232708378161538,6.0
Brandimarte,Mk01.fjs,default,R4_survival_hv,0.9661943344085518,2.0
Brandimarte,Mk01.fjs,default,R5_composite,0.9767902866569863,1.0
Brandimarte,Mk01.fjs,default,R6_adaptive_weight,0.925883301078684,5.0
Brandimarte,Mk02.fjs,default,R1_survival_only,1.0107549549171864,2.0
Brandimarte,Mk02.fjs,default,R2_hv_only,0.9655053773937843,6.0
Brandimarte,Mk02.fjs,default,R3_cmax_only,1.0046217424530943,4.0
Brandimarte,Mk02.fjs,default,R4_survival_hv,0.9873892691618348,5.0
Brandimarte,Mk02.fjs,default,R5_composite,1.0068329115072747,3.0
Brandimarte,Mk02.fjs,default,R6_adaptive_weight,1.0194015590683714,1.0
Brandimarte,Mk03.fjs,default,R1_survival_only,0.936791788631944,4.0
Brandimarte,Mk03.fjs,default,R2_hv_only,0.9438691318757233,1.0
Brandimarte,Mk03.fjs,default,R3_cmax_only,0.9170208088349786,6.0
Brandimarte,Mk03.fjs,default,R4_survival_hv,0.9393568200689306,3.0
Brandimarte,Mk03.fjs,default,R5_composite,0.9414449741379805,2.0
Brandimarte,Mk03.fjs,default,R6_adaptive_weight,0.9341615872673795,5.0
Brandimarte,Mk04.fjs,default,R1_survival_only,0.857103981138314,3.0
Brandimarte,Mk04.fjs,default,R2_hv_only,0.8701757126568288,1.0
Brandimarte,Mk04.fjs,default,R3_cmax_only,0.8534398203178158,4.0
Brandimarte,Mk04.fjs,default,R4_survival_hv,0.8488785276206774,6.0
Brandimarte,Mk04.fjs,default,R5_composite,0.8628956845710137,2.0
Brandimarte,Mk04.fjs,default,R6_adaptive_weight,0.8504847129127493,5.0
Brandimarte,Mk05.fjs,default,R1_survival_only,0.9685378839089609,2.0
Brandimarte,Mk05.fjs,default,R2_hv_only,0.9208109272252045,5.0
Brandimarte,Mk05.fjs,default,R3_cmax_only,0.9540463577172393,3.0
Brandimarte,Mk05.fjs,default,R4_survival_hv,0.9709765008264019,1.0
Brandimarte,Mk05.fjs,default,R5_composite,0.9122187830657135,6.0
Brandimarte,Mk05.fjs,default,R6_adaptive_weight,0.9368603050068759,4.0
Brandimarte,Mk06.fjs,default,R1_survival_only,0.8039381742278844,2.0
Brandimarte,Mk06.fjs,default,R2_hv_only,0.8046433102683064,1.0
Brandimarte,Mk06.fjs,default,R3_cmax_only,0.793468856415384,5.0
Brandimarte,Mk06.fjs,default,R4_survival_hv,0.7880545953832587,6.0
Brandimarte,Mk06.fjs,default,R5_composite,0.7964345817560872,4.0
Brandimarte,Mk06.fjs,default,R6_adaptive_weight,0.7973584997120734,3.0
Brandimarte,Mk07.fjs,default,R1_survival_only,1.1264667414827296,2.0
Brandimarte,Mk07.fjs,default,R2_hv_only,1.10797536056013,6.0
Brandimarte,Mk07.fjs,default,R3_cmax_only,1.121408613269727,3.0
Brandimarte,Mk07.fjs,default,R4_survival_hv,1.1154074696797736,5.0
Brandimarte,Mk07.fjs,default,R5_composite,1.1186298980880758,4.0
