dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Brandimarte,Mk01.fjs,R1_survival_only,survival,46,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed46.pkl,76,76,-0.36184568748018514,-0.49970947386471576,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,49,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed49.pkl,76,76,-0.1627786749144985,-0.2935261831003279,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,42,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed42.pkl,99,99,0.31462429238721273,-0.11736729180040646,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,45,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed45.pkl,96,96,-0.005424285583948175,-0.04066780386608863,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,48,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed48.pkl,74,74,-0.23622502992211086,-0.22708794586291464,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,44,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed44.pkl,100,100,-0.13328284489326822,-0.20673991443465178,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,51,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed51.pkl,81,81,0.38825303242255976,0.41807392859308806,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,43,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed43.pkl,77,77,-0.38527853312900073,-0.3235203263472126,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,47,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed47.pkl,66,66,0.15771906274866904,0.07496555482114316,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,50,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed50.pkl,75,75,-0.2331384070295409,-0.2531045961080556,computed
Brandimarte,Mk01.fjs,R1_survival_only,survival,43,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed43.pkl,60,60,0.06405971326904844,-0.25979547762337546,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,42,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed42.pkl,89,89,-0.1762060128826562,-0.34155352233533276,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,45,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed45.pkl,60,60,0.22991899901768117,0.1806915906202527,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,46,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed46.pkl,100,100,-0.5285504716773625,-0.5482257566296782,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,44,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed44.pkl,82,82,-0.047919096287262195,-0.17524572602209595,computed
Brandimarte,Mk01.fjs,R2_hv_only,hv,50,results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed50.pkl,71,71,0.5283473829621886,0.4985956826849947,computed
