dataset,instance,Budget,variant,HV_common,rank
Brandimarte,Mk01.fjs,50,AdaptiveNoBC,1.0056104920989413,6.0
Brandimarte,Mk01.fjs,50,AdaptiveSAOS,1.0399891110338912,2.0
Brandimarte,Mk01.fjs,50,FixedUCBPPO,1.0407675812344994,1.0
Brandimarte,Mk01.fjs,50,PPOOnly,0.9800483575664691,7.0
Brandimarte,Mk01.fjs,50,RandomUCBPPO,1.0131758128930253,5.0
Brandimarte,Mk01.fjs,50,UCBOnly,1.0274901760816388,3.0
Brandimarte,Mk01.fjs,50,UniformFixed,1.019847287907784,4.0
Brandimarte,Mk02.fjs,50,AdaptiveNoBC,0.9852216918962493,5.0
Brandimarte,Mk02.fjs,50,AdaptiveSAOS,0.9997767058194303,3.0
Brandimarte,Mk02.fjs,50,FixedUCBPPO,1.0299126986302072,1.0
Brandimarte,Mk02.fjs,50,PPOOnly,0.9678034939426045,7.0
Brandimarte,Mk02.fjs,50,RandomUCBPPO,0.9966504347069957,4.0
Brandimarte,Mk02.fjs,50,UCBOnly,1.01587443918661,2.0
Brandimarte,Mk02.fjs,50,UniformFixed,0.9718050965635265,6.0
Brandimarte,Mk03.fjs,50,AdaptiveNoBC,0.8355421595392793,5.0
Brandimarte,Mk03.fjs,50,AdaptiveSAOS,0.8596971432443021,1.0
Brandimarte,Mk03.fjs,50,FixedUCBPPO,0.8579242462837888,2.0
Brandimarte,Mk03.fjs,50,PPOOnly,0.8309498708515338,6.0
Brandimarte,Mk03.fjs,50,RandomUCBPPO,0.8137876195630436,7.0
Brandimarte,Mk03.fjs,50,UCBOnly,0.8425816407301462,4.0
Brandimarte,Mk03.fjs,50,UniformFixed,0.8483105206011137,3.0
Brandimarte,Mk04.fjs,50,AdaptiveNoBC,0.9772487263728584,5.0
Brandimarte,Mk04.fjs,50,AdaptiveSAOS,0.9805350262233414,3.0
Brandimarte,Mk04.fjs,50,FixedUCBPPO,1.0230687119044939,1.0
Brandimarte,Mk04.fjs,50,PPOOnly,0.959234486583358,6.0
