Budget,target,comparator,independent_unit,instances,numerical_tie_tolerance,wins,ties,losses,median_difference,bootstrap_ci95_low,bootstrap_ci95_high,rank_biserial,wilcoxon_statistic,p_raw,comparison_family,p_holm,holm_family_size,significant_0_05
50,AdaptiveSAOS,AdaptiveNoBC,instance,50,1e-12,33,0,17,0.009159998496299004,0.0005683380617922396,0.014705016196678522,0.3803921568627451,395.0,0.01855822259070905,main_target_vs_comparators_all_budgets,0.16702400331638145,18,False
50,AdaptiveSAOS,FixedUCBPPO,instance,50,1e-12,34,0,16,0.018184504675835766,0.003350068060351985,0.033344049464650805,0.5513725490196079,286.0,0.0004885945525092694,main_target_vs_comparators_all_budgets,0.0063517291826205025,18,True
50,AdaptiveSAOS,PPOOnly,instance,50,1e-12,40,0,10,0.03459101183159419,0.021300539639983462,0.06148357329824561,0.8070588235294117,123.0,5.7649630846867694e-08,main_target_vs_comparators_all_budgets,1.0376933552436185e-06,18,True
50,AdaptiveSAOS,RandomUCBPPO,instance,50,1e-12,38,0,12,0.024579558266891843,0.013008533990019222,0.03410632990239798,0.7474509803921568,161.0,8.237842195057965e-07,main_target_vs_comparators_all_budgets,1.400433173159854e-05,18,True
50,AdaptiveSAOS,UCBOnly,instance,50,1e-12,22,0,28,-0.0034313247552361092,-0.010783057708872335,0.004688112620841123,-0.13254901960784313,553.0,0.42072286282100535,main_target_vs_comparators_all_budgets,1.0,18,False
50,AdaptiveSAOS,UniformFixed,instance,50,1e-12,40,0,10,0.02786303579186361,0.02014182312610724,0.04314869938003396,0.6109803921568627,248.0,9.468707561843814e-05,main_target_vs_comparators_all_budgets,0.0014203061342765722,18,True
100,AdaptiveSAOS,AdaptiveNoBC,instance,50,1e-12,17,0,33,-0.01153348352670358,-0.01987736878514157,-0.001483407329636477,-0.43686274509803924,359.0,0.006525205201144857,main_target_vs_comparators_all_budgets,0.07177725721259343,18,False
100,AdaptiveSAOS,FixedUCBPPO,instance,50,1e-12,16,0,34,-0.007439127009928992,-0.015373742984164496,-0.000652899743092128,-0.3615686274509804,407.0,0.025500083179634814,main_target_vs_comparators_all_budgets,0.2040006654370785,18,False
100,AdaptiveSAOS,PPOOnly,instance,50,1e-12,38,0,12,0.021572803515526928,0.006640005427086926,0.032764665010069915,0.5388235294117647,294.0,0.0006715891126169993,main_target_vs_comparators_all_budgets,0.008059069351403991,18,True
100,AdaptiveSAOS,RandomUCBPPO,instance,50,1e-12,25,0,25,-9.809112159830935e-05,-0.006182399021533391,0.009108815769069523,0.05725490196078432,601.0,0.7304479390240814,main_target_vs_comparators_all_budgets,1.0,18,False
100,AdaptiveSAOS,UCBOnly,instance,50,1e-12,14,0,36,-0.010249012024970972,-0.01948417646713474,-0.004821267141665642,-0.615686274509804,245.0,8.237559280566131e-05,main_target_vs_comparators_all_budgets,0.001318009484890581,18,True
100,AdaptiveSAOS,UniformFixed,instance,50,1e-12,26,0,24,0.003919563549481142,-0.010773473773631803,0.027345715471310095,0.15764705882352942,537.0,0.3374027667706141,main_target_vs_comparators_all_budgets,1.0,18,False
200,AdaptiveSAOS,AdaptiveNoBC,instance,50,1e-12,19,0,31,-0.008257273461747427,-0.015312575440645126,4.4452294413299676e-05,-0.3615686274509804,407.0,0.025500083179634814,main_target_vs_comparators_all_budgets,0.2040006654370785,18,False
200,AdaptiveSAOS,FixedUCBPPO,instance,50,1e-12,23,0,27,-0.005437331357145303,-0.01765266558680456,0.0038841335662604948,-0.2690196078431373,466.0,0.09908592454842413,main_target_vs_comparators_all_budgets,0.49542962274212066,18,False
200,AdaptiveSAOS,PPOOnly,instance,50,1e-12,32,0,18,0.00936136307599511,0.0014608451156498115,0.03152697694945594,0.33176470588235296,426.0,0.040940454006349825,main_target_vs_comparators_all_budgets,0.24564272403809895,18,False
200,AdaptiveSAOS,RandomUCBPPO,instance,50,1e-12,17,0,33,-0.007347479256299971,-0.01597823376795373,-0.0004763743707958401,-0.4243137254901961,367.0,0.008333363871146915,main_target_vs_comparators_all_budgets,0.08333363871146915,18,False
200,AdaptiveSAOS,UCBOnly,instance,50,1e-12,13,0,37,-0.009868567582182075,-0.02227263889909059,-0.004139099918603284,-0.6094117647058823,249.0,9.915398697479816e-05,main_target_vs_comparators_all_budgets,0.0014203061342765722,18,True
200,AdaptiveSAOS,UniformFixed,instance,50,1e-12,22,0,28,-0.0038215143176985045,-0.017307314729657408,0.01116762222394918,-0.03529411764705882,615.0,0.8332778036429911,main_target_vs_comparators_all_budgets,1.0,18,False
