Budget,variant,independent_unit,instances,HV_common_mean_of_instance_medians,HV_common_median_of_instance_medians,HV_common_q1_of_instance_medians,HV_common_q3_of_instance_medians,HV_common_iqr_of_instance_medians,HV_common_bootstrap_mean_ci95_low,HV_common_bootstrap_mean_ci95_high,Cmax_best_mean_of_instance_medians,Cmax_best_median_of_instance_medians,Cmax_best_q1_of_instance_medians,Cmax_best_q3_of_instance_medians,Cmax_best_iqr_of_instance_medians,Cmax_best_bootstrap_mean_ci95_low,Cmax_best_bootstrap_mean_ci95_high,TEC_best_mean_of_instance_medians,TEC_best_median_of_instance_medians,TEC_best_q1_of_instance_medians,TEC_best_q3_of_instance_medians,TEC_best_iqr_of_instance_medians,TEC_best_bootstrap_mean_ci95_low,TEC_best_bootstrap_mean_ci95_high,WB_best_mean_of_instance_medians,WB_best_median_of_instance_medians,WB_best_q1_of_instance_medians,WB_best_q3_of_instance_medians,WB_best_iqr_of_instance_medians,WB_best_bootstrap_mean_ci95_low,WB_best_bootstrap_mean_ci95_high,NSol_mean_of_instance_medians,NSol_median_of_instance_medians,NSol_q1_of_instance_medians,NSol_q3_of_instance_medians,NSol_iqr_of_instance_medians,NSol_bootstrap_mean_ci95_low,NSol_bootstrap_mean_ci95_high,Time_mean_of_instance_medians,Time_median_of_instance_medians,Time_q1_of_instance_medians,Time_q3_of_instance_medians,Time_iqr_of_instance_medians,Time_bootstrap_mean_ci95_low,Time_bootstrap_mean_ci95_high
50,AdaptiveNoBC,instance,50,1.0166079135606296,1.0329854378608965,0.9443037905161179,1.0915129299361142,0.14720913941999625,0.9886879710192185,1.0437790841687753,1752.249087727583,1523.411587967112,816.287019098079,2755.2546678405333,1938.9676487424545,1445.3525534869473,2069.9978894324136,72198.85401657058,53579.325601605764,27317.06807030194,118142.51757545015,90825.44950514822,56840.46772932883,88073.99418927975,143.10999999999964,98.99999999999926,71.6249999999996,196.4999999999996,124.875,112.28949999999976,178.03049999999965,22.85,16.25,12.25,26.375,14.125,18.68,27.270249999999997,54.46800291061401,50.99260663986206,39.07493117451668,69.90418750047684,30.82925632596016,48.93524762845039,60.201625339090825
50,AdaptiveSAOS,instance,50,1.0243576159769507,1.039799248032502,0.9688198756290853,1.0921472361529418,0.12332736052385651,0.9977840536627236,1.05017636341011,1748.6203107871627,1537.915748480792,821.3641389811683,2731.9727239960293,1910.608585014861,1436.6371379298787,2063.949683742989,72117.23512080789,53533.28133100248,27407.847556946956,117613.24185831945,90205.3943013725,56727.0205818633,87446.48167108509,142.16999999999967,98.74999999999963,58.87499999999977,196.4999999999996,137.62499999999983,110.1589999999997,176.67074999999966,22.72,16.25,12.5,27.0,14.5,18.80975,27.13,55.274619493484494,47.889322996139526,39.86769685149193,70.42998945713043,30.562292605638504,49.84519157874585,61.05951305997372
50,FixedUCBPPO,instance,50,0.9974147606554687,1.0264907052673506,0.920515368930508,1.080526716257526,0.16001134732701805,0.965248286289405,1.0280940267489418,1765.6342711393936,1547.3737336684108,836.7021099655406,2751.00399811676,1914.3018881512196,1449.2604773441724,2087.021624215545,72363.7811772359,53539.89585126602,27404.228979694406,117815.54222459799,90411.31324490358,56933.651866949105,88466.87073505134,143.51999999999964,106.2499999999994,59.99999999999973,196.49999999999963,136.4999999999999,111.82974999999968,177.58074999999965,24.63,19.0,12.625,28.375,15.75,20.39,29.38,54.92790744066238,49.6803440451622,38.85078218579292,71.47676220536232,32.6259800195694,49.486228652954104,60.65796060198545
50,PPOOnly,instance,50,0.9748070572739755,0.9739259257545367,0.8895871817783886,1.0822191827670773,0.1926320009886887,0.942587849080942,1.0059468898561752,1772.2785613643189,1535.6553205085634,829.0846612132982,2769.504381419848,1940.4197202065498,1454.0650113686136,2089.91752316691,72540.7692624897,53764.2255043053,27610.029150031725,118727.57388369665,91117.54473366492,57454.01400689708,88486.34934490774,143.31999999999968,102.7499999999996,70.49999999999987,196.4999999999997,125.99999999999982,111.42974999999976,177.38149999999965,21.35,15.75,11.125,24.125,13.0,17.589500000000005,25.58,55.08569506406784,48.67943012714386,39.219901978969574,74.05163764953613,34.83173567056656,49.50684932738543,60.917484155118466
50,RandomUCBPPO,instance,50,0.9952526942188701,0.9987401101321958,0.9216534381055892,1.0743694810998534,0.15271604299426422,0.9646165388876056,1.0257427917644004,1760.6532984033302,1539.1932891755823,819.2028379402536,2752.5784548817905,1933.375616941537,1445.2067364368318,2084.199657673568,72306.37319737549,53582.02853416238,27358.55702786222,118029.77639953418,90671.21937167196,57235.451938480306,88163.6690388605,143.77999999999963,101.74999999999926,63.374999999999815,196.49999999999957,133.12499999999977,111.98974999999965,178.9712499999996,22.16,16.25,12.0,24.5,12.5,18.29,26.59,55.22145314693451,48.28999310731888,38.32319629192352,72.80735847353935,34.48416218161583,49.55122188115119,61.07267313575744
50,UCBOnly,instance,50,1.0274085973232818,1.0287753651988096,0.9592380326480927,1.1001807094252187,0.14094267677712602,0.9996430132358208,1.0541227183278978,1747.6731673375089,1536.6071315915963,814.7270975811072,2740.9625952162064,1926.2354976350994,1438.534423276118,2068.9331153372527,72093.17000854414,53681.138070351764,27385.69286592987,117962.12843026654,90576.43556433667,56836.59820041082,87637.34651078063,142.00999999999965,98.74999999999957,59.99999999999953,196.4999999999996,136.50000000000006,110.42999999999971,176.2212499999996,22.32,16.75,12.25,25.625,13.375,18.39975,26.7,55.06268928050995,48.97252994775772,39.788380682468414,70.8845527768135,31.096172094345093,49.45486972606182,60.6951679161191
50,UniformFixed,instance,50,0.9934360187142032,1.0213363957453212,0.8966216986475719,1.0776935975596065,0.18107189891203457,0.9636698407093298,1.0233464210219507,1765.8563478673052,1529.9018778884608,828.090527780177,2772.752267062829,1944.661739282652,1453.4678428012817,2085.692521920898,72421.41032114168,53671.24908539857,27526.34529321886,118637.12534999491,91110.78005677604,57194.66635683738,88030.27873805989,143.65999999999963,111.99999999999977,59.874999999999545,196.49999999999966,136.6250000000001,111.7782499999997,179.39999999999955,21.2,15.5,10.5,23.75,13.25,17.209750000000003,25.56,54.69615332603455,47.87086695432663,38.69492021203041,72.24896493554115,33.55404472351074,48.98149447959662,60.414933332741256
100,AdaptiveNoBC,instance,50,1.051952886871639,1.0730259791930834,0.9770647568418351,1.1306637126081767,0.15359895576634153,1.0241127529417269,1.0791465648585497,1637.4374812991473,1440.5556892012428,793.9211802882504,2534.5570894044004,1740.6359091161498,1347.036942215902,1931.0695730577472,70139.09433155198,52473.77183666685,26917.50431072007,114051.24593864674,87133.74162792668,55665.11401807262,85686.72386233404,140.24999999999957,94.49999999999929,53.4999999999996,196.49999999999955,142.99999999999994,108.13849999999962,174.70249999999945,27.59,20.75,14.0,32.25,18.25,22.669750000000004,33.03,123.05214818000793,106.3920596241951,85.38615953922272,158.0379280745983,72.6517685353756,110.35804899853467,136.14441632533072
100,AdaptiveSAOS,instance,50,1.0408258332268583,1.0561205380370926,0.9760551343708848,1.1079427825974797,0.13188764822659493,1.0125187386790995,1.0681035038031823,1643.8711535282462,1455.1170246864565,795.523103746988,2542.2314890775215,1746.7083853305335,1352.127320747042,1940.3842085085694,70222.0061628644,52520.29017997488,26912.184178034833,114188.58577180168,87276.40159376684,55490.14180233031,85689.17114813949,140.32999999999956,94.49999999999963,53.624999999999574,196.49999999999952,142.87499999999994,108.47974999999963,175.77074999999954,26.56,20.75,14.125,29.375,15.25,22.19,31.55,123.78193064451217,105.41514706611633,86.56318244338036,160.948576182127,74.38539373874664,111.009726716578,136.96794229221345
100,FixedUCBPPO,instance,50,1.0509104008282433,1.0685340731049513,0.9753575963973976,1.122400389729294,0.1470427933318964,1.0250548905795647,1.076263285973012,1639.6524499404293,1443.1420687031277,789.376122191461,2563.9064393373737,1774.5303171459127,1344.2319551203534,1934.7511113956944,70207.45430644837,52418.93364841666,26960.651214246303,114452.85741818206,87492.20620393576,55508.92988702729,85452.42506550656,140.21999999999957,94.49999999999952,53.49999999999952,196.4999999999995,142.99999999999997,108.75874999999972,175.38074999999952,26.83,20.75,13.625,33.75,20.125,22.15,32.04,121.41392785072327,103.18192207813263,83.77625694870949,162.65321362018585,78.87695667147636,109.0171956051588,134.78503315764667
