Budget,variant,mean_rank,rank_sd,independent_blocks
50,UCBOnly,2.74,1.536096298001754,50
50,AdaptiveSAOS,2.86,1.6163703354196064,50
50,AdaptiveNoBC,3.52,1.474130667373078,50
50,FixedUCBPPO,4.16,2.033996769206593,50
50,RandomUCBPPO,4.66,1.6976574496424564,50
50,UniformFixed,4.74,2.0977149861850406,50
50,PPOOnly,5.32,2.0044847676331865,50
100,UCBOnly,2.98,1.4068346290411633,50
100,AdaptiveNoBC,3.2,1.714285714285714,50
100,FixedUCBPPO,3.36,1.68740834974096,50
100,UniformFixed,4.22,2.3585709959331607,50
100,AdaptiveSAOS,4.28,1.7847425927704472,50
100,RandomUCBPPO,4.38,1.7010201021020008,50
100,PPOOnly,5.58,2.0512813317633487,50
200,UCBOnly,3.22,1.6817143827969487,50
200,AdaptiveNoBC,3.52,1.764039890335215,50
200,RandomUCBPPO,3.52,1.681107506669217,50
200,UniformFixed,4.1,2.2154374884672605,50
200,FixedUCBPPO,4.16,1.8883099019266631,50
200,AdaptiveSAOS,4.48,1.8652569993085104,50
200,PPOOnly,5.0,2.3386722205349857,50
