Protocol,dataset,instance,variant,seed,Budget,Transition_gen,PPO_controlled_actions_derived,PPO_total_updates_expected,PPO_action_effective_updates_derived,PPO_consumed_samples_observed,Terminal_only_update_count
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,42,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,43,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,45,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,44,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,47,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,48,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,46,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,49,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,50,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptiveSAOS,51,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,45,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,43,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,42,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,47,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,46,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,44,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,49,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,48,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,51,50,35,15,1,0,15,1
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk02.fjs,AdaptiveSAOS,50,50,35,15,1,0,15,1
