Budget,target,comparator,inference_status,nested_unit,matched_instance_seed_rows,numerical_tie_tolerance,wins,ties,losses,median_difference,q1_difference,q3_difference,rank_biserial
50,AdaptiveSAOS,AdaptiveNoBC,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,283,0,217,0.005569570013235325,-0.01988826241588537,0.0358664879866081,0.21208782435129742
50,AdaptiveSAOS,FixedUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,315,0,185,0.029132421392469854,-0.024558558638844485,0.07456104093902843,0.39786027944111774
50,AdaptiveSAOS,PPOOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,336,0,164,0.0407397720003872,-0.03225589570728832,0.12860142370297226,0.4294930139720559
50,AdaptiveSAOS,RandomUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,325,0,175,0.024618477559780916,-0.015962014758644144,0.06971525371995435,0.44499800399201594
50,AdaptiveSAOS,UCBOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,251,0,249,0.00011815795776637383,-0.02469393415554888,0.023463706333283874,0.007409181636726547
50,AdaptiveSAOS,UniformFixed,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,303,0,197,0.029746128835782648,-0.043271370943794185,0.10225939245610838,0.27969660678642716
100,AdaptiveSAOS,AdaptiveNoBC,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,192,0,308,-0.010334582541584147,-0.0346007607730921,0.014127606515298263,-0.28099001996007983
100,AdaptiveSAOS,FixedUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,205,4,291,-0.009555714604653764,-0.0474302089887087,0.0269077842691271,-0.19194197442720842
100,AdaptiveSAOS,PPOOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,292,0,208,0.02665051377426081,-0.05638724483050936,0.1133633588371109,0.24213972055888225
100,AdaptiveSAOS,RandomUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,241,4,255,-0.000433267612606425,-0.03836045430167037,0.03357835231533046,0.0007626403582787045
100,AdaptiveSAOS,UCBOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,179,0,321,-0.012748742942358726,-0.037729131560786056,0.01304953709882073,-0.35281437125748505
100,AdaptiveSAOS,UniformFixed,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,281,0,219,0.01569167924956394,-0.07613216847341264,0.09257814866977196,0.09892215568862275
200,AdaptiveSAOS,AdaptiveNoBC,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,221,0,279,-0.009562831759533763,-0.045762040143044025,0.024029785161303607,-0.18697005988023951
200,AdaptiveSAOS,FixedUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,226,1,273,-0.004783756229230662,-0.04194095265384826,0.02668050442137121,-0.14844088176352704
200,AdaptiveSAOS,PPOOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,264,0,236,0.006881815390973989,-0.06071038523875072,0.08578856131739032,0.09063473053892215
200,AdaptiveSAOS,RandomUCBPPO,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,213,3,284,-0.007520989195186956,-0.046878439966235086,0.02544042829869711,-0.17807245076887024
200,AdaptiveSAOS,UCBOnly,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,193,0,307,-0.012859501278862373,-0.05128297918856653,0.014963705621117318,-0.3256047904191617
200,AdaptiveSAOS,UniformFixed,descriptive_only_no_independence_assumed,instance_seed,500,1e-12,259,0,241,0.004542464104996591,-0.08194463782199357,0.08122433380627353,0.01981636726546906
