dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status,Budget
Brandimarte,Mk01.fjs,UniformFixed,composite,43,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed43.pkl,70,70,-0.2527528827329524,-0.42668929565267183,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,50,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed50.pkl,59,59,-0.13906752406544878,-0.2575837283025148,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,46,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed46.pkl,62,62,-0.12611693365796864,-0.17262436888337804,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,44,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed44.pkl,60,60,0.25911058518944985,0.22637158062174362,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,47,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed47.pkl,66,66,0.09469279480301032,-0.276469605938662,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,51,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed51.pkl,42,42,-0.2117204697408694,-0.5576759455167002,computed,50
Brandimarte,Mk01.fjs,UCBOnly,composite,43,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UCBOnly_composite_seed43.pkl,58,58,-0.02599178962856157,-0.15316701047231773,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,49,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed49.pkl,47,47,0.16790437879932185,0.14743293246993525,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,42,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed42.pkl,79,79,-0.6080960707688413,-0.6655306718597858,computed,50
Brandimarte,Mk01.fjs,UniformFixed,composite,45,results/resubmission/v5/e3_budget/gen050/fronts/Brandimarte_Mk01_UniformFixed_composite_seed45.pkl,71,71,-0.3254442164412544,-0.3926421521811527,computed,50
