dataset,instance,hv_sa_aos,hv_ucb_only,delta_hv_sa_aos_minus_ucb,front_size,transition_gen,ppo_updates,bc_training_accuracy,jobs,machines,operations,agv_energy_share_median,cmax_energy_correlation,transport_time_ratio_realized,majority_action_share,normalized_label_entropy,bc_accuracy_minus_majority,family
Brandimarte,Mk01.fjs,1.1001175127350287,1.0971396198269678,0.0029778929080608307,77.0,70.0,2.0,0.3062500059604645,10,6,55,0.0865457566002034,0.7817646735041509,0.3,0.1,0.9999999999999998,0.20156250596046443,Mk
Brandimarte,Mk02.fjs,1.00133074696611,0.998258422662838,0.0030723243032718672,46.0,70.0,2.0,0.321428582072258,10,6,58,0.1036775135406959,0.8316372152664602,0.3,0.11428571428571428,0.9991106451708882,0.20714286778654373,Mk
Brandimarte,Mk03.fjs,0.8904342169486468,0.8980248588184652,-0.007590641869818393,63.5,70.0,2.0,0.28571429848670954,15,8,150,0.0875798484644926,0.8964596763859022,0.2999999999999999,0.1,0.9999999999999998,0.17142858462674276,Mk
Brandimarte,Mk04.fjs,0.9220550213254991,0.9292898698930099,-0.0072348485675107765,67.5,70.0,2.0,0.3000000119209289,15,8,90,0.1171314408172891,0.6629864999612763,0.2999999999999999,0.1,0.9999999999999998,0.2000000119209289,Mk
Brandimarte,Mk05.fjs,0.9384979225036686,0.9907271256106547,-0.05222920310698609,36.0,62.0,3.0,0.33879782259464264,15,4,106,0.0894749171551991,0.9192719155458484,0.3,0.10555555555555556,0.9984426999442232,0.2290398211752782,Mk
Brandimarte,Mk06.fjs,0.8002877635029815,0.8045942579181429,-0.004306494415161399,79.5,70.0,2.0,0.30322581529617304,10,10,150,0.0591220398821711,0.891153425375353,0.3,0.11428571428571428,0.9991106451708882,0.1896313452500901,Mk
Brandimarte,Mk07.fjs,1.08100459845133,1.0938983671521996,-0.012893768700869668,42.0,70.0,2.0,0.2928571552038193,20,5,100,0.078529626027741,0.8496651908218571,0.3,0.11428571428571428,0.9991106451708882,0.17857144091810498,Mk
Brandimarte,Mk08.fjs,1.0460121006744871,1.0404231257657777,0.005588974908709465,8.5,62.0,3.0,0.3025761097669601,20,10,225,0.1185867950956802,0.8782636782806583,0.3,0.11596638655462185,0.9978427810609422,0.18571429763521466,Mk
Brandimarte,Mk09.fjs,0.9642422859428923,0.9486156553862446,0.015626630556647703,57.5,70.0,2.0,0.2714285850524902,20,10,240,0.0942242985634506,0.9417777309863528,0.2999999999999999,0.11428571428571428,0.9991106451708882,0.1571428707667759,Mk
Brandimarte,Mk10.fjs,0.8815029050853016,0.9329855862385057,-0.05148268115320409,26.0,70.0,2.0,0.30217391252517695,20,15,240,0.0982644653534071,0.834671636518674,0.2999999999999999,0.11428571428571428,0.9988904559161164,0.18706004088956618,Mk
Hurink_edata,la01.fjs,1.0772796087060268,1.117294568729284,-0.04001496002325711,16.0,68.0,2.0,0.30227744579315186,10,5,50,0.1198084550853269,0.9488170170657498,0.3,0.11749482401656314,0.997405022004579,0.1871635741575411,la
Hurink_edata,la02.fjs,1.0094087410542447,1.030706907189975,-0.021298166135730323,28.5,60.0,3.0,0.3343889713287353,10,5,50,0.0770848061865129,0.7902310019259191,0.3,0.1199280945043657,0.9961610037967578,0.21199701901875018,la
