Budget,variant,true_action,predicted_action,count,row_proportion
100,BasePaddedBC_R16,0,0,169,0.24963072378138848
100,BasePaddedBC_R16,0,1,103,0.15214180206794684
100,BasePaddedBC_R16,0,2,52,0.07680945347119646
100,BasePaddedBC_R16,0,3,20,0.029542097488921712
100,BasePaddedBC_R16,0,4,7,0.0103397341211226
100,BasePaddedBC_R16,0,5,10,0.014771048744460856
100,BasePaddedBC_R16,0,6,55,0.08124076809453472
100,BasePaddedBC_R16,0,7,110,0.16248153618906944
100,BasePaddedBC_R16,0,8,12,0.01772525849335303
100,BasePaddedBC_R16,0,9,139,0.20531757754800592
100,BasePaddedBC_R16,1,0,77,0.11773700305810397
100,BasePaddedBC_R16,1,1,221,0.3379204892966361
100,BasePaddedBC_R16,1,2,65,0.09938837920489296
100,BasePaddedBC_R16,1,3,20,0.03058103975535168
100,BasePaddedBC_R16,1,4,9,0.013761467889908258
100,BasePaddedBC_R16,1,5,13,0.019877675840978593
100,BasePaddedBC_R16,1,6,45,0.06880733944954129
100,BasePaddedBC_R16,1,7,77,0.11773700305810397
100,BasePaddedBC_R16,1,8,8,0.012232415902140673
100,BasePaddedBC_R16,1,9,119,0.1819571865443425
100,BasePaddedBC_R16,2,0,70,0.10014306151645208
100,BasePaddedBC_R16,2,1,16,0.022889842632331903
100,BasePaddedBC_R16,2,2,268,0.3834048640915594
100,BasePaddedBC_R16,2,3,40,0.05722460658082976
100,BasePaddedBC_R16,2,4,9,0.012875536480686695
100,BasePaddedBC_R16,2,5,9,0.012875536480686695
100,BasePaddedBC_R16,2,6,58,0.08297567954220315
100,BasePaddedBC_R16,2,7,110,0.15736766809728184
100,BasePaddedBC_R16,2,8,5,0.00715307582260372
100,BasePaddedBC_R16,2,9,114,0.1630901287553648
100,BasePaddedBC_R16,3,0,42,0.06441717791411043
100,BasePaddedBC_R16,3,1,9,0.013803680981595092
100,BasePaddedBC_R16,3,2,104,0.15950920245398773
100,BasePaddedBC_R16,3,3,199,0.3052147239263804
100,BasePaddedBC_R16,3,4,31,0.04754601226993865
100,BasePaddedBC_R16,3,5,13,0.019938650306748466
100,BasePaddedBC_R16,3,6,56,0.08588957055214724
100,BasePaddedBC_R16,3,7,86,0.13190184049079753
100,BasePaddedBC_R16,3,8,7,0.010736196319018405
100,BasePaddedBC_R16,3,9,105,0.16104294478527606
100,BasePaddedBC_R16,4,0,41,0.06396255850234009
100,BasePaddedBC_R16,4,1,8,0.0124804992199688
100,BasePaddedBC_R16,4,2,64,0.0998439937597504
100,BasePaddedBC_R16,4,3,74,0.11544461778471139
100,BasePaddedBC_R16,4,4,175,0.27301092043681746
100,BasePaddedBC_R16,4,5,22,0.0343213728549142
100,BasePaddedBC_R16,4,6,52,0.0811232449297972
100,BasePaddedBC_R16,4,7,94,0.14664586583463338
100,BasePaddedBC_R16,4,8,9,0.014040561622464899
100,BasePaddedBC_R16,4,9,102,0.15912636505460218
100,BasePaddedBC_R16,5,0,34,0.05546492659053834
100,BasePaddedBC_R16,5,1,4,0.0065252854812398045
100,BasePaddedBC_R16,5,2,57,0.0929853181076672
100,BasePaddedBC_R16,5,3,26,0.04241435562805873
100,BasePaddedBC_R16,5,4,104,0.16965742251223492
100,BasePaddedBC_R16,5,5,109,0.17781402936378465
100,BasePaddedBC_R16,5,6,84,0.1370309951060359
100,BasePaddedBC_R16,5,7,90,0.1468189233278956
100,BasePaddedBC_R16,5,8,12,0.01957585644371941
100,BasePaddedBC_R16,5,9,93,0.15171288743882544
100,BasePaddedBC_R16,6,0,32,0.050078247261345854
100,BasePaddedBC_R16,6,1,5,0.00782472613458529
100,BasePaddedBC_R16,6,2,62,0.09702660406885759
100,BasePaddedBC_R16,6,3,14,0.02190923317683881
100,BasePaddedBC_R16,6,4,26,0.0406885758998435
100,BasePaddedBC_R16,6,5,59,0.09233176838810642
100,BasePaddedBC_R16,6,6,199,0.3114241001564945
100,BasePaddedBC_R16,6,7,119,0.18622848200312989
100,BasePaddedBC_R16,6,8,11,0.017214397496087636
100,BasePaddedBC_R16,6,9,112,0.1752738654147105
100,BasePaddedBC_R16,7,0,35,0.054602184087363496
100,BasePaddedBC_R16,7,1,7,0.0109204368174727
100,BasePaddedBC_R16,7,2,52,0.0811232449297972
100,BasePaddedBC_R16,7,3,15,0.0234009360374415
100,BasePaddedBC_R16,7,4,11,0.0171606864274571
100,BasePaddedBC_R16,7,5,22,0.0343213728549142
100,BasePaddedBC_R16,7,6,131,0.20436817472698907
100,BasePaddedBC_R16,7,7,243,0.3790951638065523
100,BasePaddedBC_R16,7,8,25,0.0390015600624025
100,BasePaddedBC_R16,7,9,100,0.15600624024961
100,BasePaddedBC_R16,8,0,33,0.056896551724137934
100,BasePaddedBC_R16,8,1,3,0.005172413793103448
100,BasePaddedBC_R16,8,2,26,0.04482758620689655
100,BasePaddedBC_R16,8,3,14,0.02413793103448276
100,BasePaddedBC_R16,8,4,12,0.020689655172413793
100,BasePaddedBC_R16,8,5,17,0.029310344827586206
100,BasePaddedBC_R16,8,6,84,0.14482758620689656
100,BasePaddedBC_R16,8,7,213,0.36724137931034484
100,BasePaddedBC_R16,8,8,53,0.09137931034482759
100,BasePaddedBC_R16,8,9,125,0.21551724137931033
100,BasePaddedBC_R16,9,0,45,0.07450331125827815
100,BasePaddedBC_R16,9,1,3,0.004966887417218543
100,BasePaddedBC_R16,9,2,54,0.08940397350993377
100,BasePaddedBC_R16,9,3,13,0.02152317880794702
100,BasePaddedBC_R16,9,4,7,0.011589403973509934
100,BasePaddedBC_R16,9,5,12,0.019867549668874173
100,BasePaddedBC_R16,9,6,73,0.12086092715231789
100,BasePaddedBC_R16,9,7,152,0.25165562913907286
100,BasePaddedBC_R16,9,8,31,0.05132450331125828
100,BasePaddedBC_R16,9,9,214,0.3543046357615894
100,EnhancedBC_R16,0,0,304,0.44903988183161003
100,EnhancedBC_R16,0,1,44,0.06499261447562776
100,EnhancedBC_R16,0,2,126,0.1861152141802068
100,EnhancedBC_R16,0,3,15,0.022156573116691284
100,EnhancedBC_R16,0,4,24,0.03545051698670606
100,EnhancedBC_R16,0,5,7,0.0103397341211226
100,EnhancedBC_R16,0,6,28,0.0413589364844904
100,EnhancedBC_R16,0,7,43,0.06351550960118169
100,EnhancedBC_R16,0,8,2,0.0029542097488921715
100,EnhancedBC_R16,0,9,84,0.1240768094534712
100,EnhancedBC_R16,1,0,73,0.11162079510703364
100,EnhancedBC_R16,1,1,259,0.39602446483180426
100,EnhancedBC_R16,1,2,109,0.16666666666666666
100,EnhancedBC_R16,1,3,22,0.03363914373088685
100,EnhancedBC_R16,1,4,25,0.0382262996941896
100,EnhancedBC_R16,1,5,11,0.016819571865443424
