metric,family,contrast,Budget,lhs,rhs,n_instances,median_delta_oriented,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,rank_biserial,wilcoxon_statistic,p_raw,n_nonzero,test_method,p_holm_within_family,endpoint_role
HV_fixed,M100_state,enhanced_vs_padded_base_with_bc,100,EnhancedBC_R16,BasePaddedBC_R16,10,-4.764928405420754e-05,-0.01698624552858896,0.01375058086530978,5,0,5,-0.09090909090909091,25.0,0.845703125,10,exact sign enumeration of average signed ranks,1.0,amended primary fixed-box HV
HV_fixed,M100_state,enhanced_vs_padded_base_without_bc,100,EnhancedNoBC_R16,BasePaddedNoBC_R16,10,0.0,-0.0014552454429848094,0.0005102690272270616,2,6,2,0.0,5.0,1.0,4,exact sign enumeration of average signed ranks,1.0,amended primary fixed-box HV
HV_fixed,M100_bc,bc_effect_padded_base_state,100,BasePaddedBC_R16,BasePaddedNoBC_R16,10,-0.008685094360326162,-0.026273355885432337,0.01628789767904637,4,0,6,-0.2727272727272727,20.0,0.4921875,10,exact sign enumeration of average signed ranks,0.86328125,amended primary fixed-box HV
HV_fixed,M100_bc,bc_effect_enhanced_state,100,EnhancedBC_R16,EnhancedNoBC_R16,10,-0.0009857735654124067,-0.024160677943697584,0.004413053714263815,4,0,6,-0.3090909090909091,19.0,0.431640625,10,exact sign enumeration of average signed ranks,0.86328125,amended primary fixed-box HV
HV_fixed,M200_rollout,rollout8_vs_16,200,EnhancedBC_R8,EnhancedBC_R16,10,0.017437516644565165,0.008101332692647789,0.02554517899325992,9,0,1,0.7454545454545455,7.0,0.037109375,10,exact sign enumeration of average signed ranks,0.07421875,amended primary fixed-box HV
HV_fixed,M200_rollout,rollout32_vs_16,200,EnhancedBC_R32,EnhancedBC_R16,10,0.005503421111417883,-0.0023037802854406486,0.025640583709402864,7,0,3,0.4909090909090909,14.0,0.193359375,10,exact sign enumeration of average signed ranks,0.193359375,amended primary fixed-box HV
HV_fixed,UCB_boundary,enhanced16_vs_ucb_g100,100,EnhancedBC_R16,UCBOnly,10,-0.009052047051300471,-0.04773853892437302,0.004514087659002852,4,0,6,-0.4909090909090909,14.0,0.193359375,10,exact sign enumeration of average signed ranks,0.193359375,amended primary fixed-box HV
HV_fixed,UCB_boundary,enhanced16_vs_ucb_g200,200,EnhancedBC_R16,UCBOnly,10,-0.03738645940250007,-0.05183351819762699,-0.010143809501579256,2,0,8,-0.8181818181818182,5.0,0.01953125,10,exact sign enumeration of average signed ranks,0.0390625,amended primary fixed-box HV
HV_fixed,M100_interaction,state_by_bc_difference_in_differences,100,(EnhancedBC-EnhancedNoBC),(BasePaddedBC-BasePaddedNoBC),10,-0.005585065403956202,-0.01698624552858896,0.01375058086530978,4,0,6,-0.16363636363636364,23.0,0.6953125,10,exact sign enumeration of average signed ranks,0.6953125,amended primary fixed-box HV
HV_expanded_1p5,M100_state,enhanced_vs_padded_base_with_bc,100,EnhancedBC_R16,BasePaddedBC_R16,10,0.0014663072299385682,-0.026854469858072806,0.021933181172047345,6,0,4,-0.01818181818181818,27.0,1.0,10,exact sign enumeration of average signed ranks,1.0,post-audit expanded-reference sensitivity
HV_expanded_1p5,M100_state,enhanced_vs_padded_base_without_bc,100,EnhancedNoBC_R16,BasePaddedNoBC_R16,10,0.0,0.0,0.0030822722524144197,3,6,1,0.4,3.0,0.625,4,exact sign enumeration of average signed ranks,1.0,post-audit expanded-reference sensitivity
HV_expanded_1p5,M100_bc,bc_effect_padded_base_state,100,BasePaddedBC_R16,BasePaddedNoBC_R16,10,-0.013193412924553227,-0.05524896831746284,0.033151249698383234,4,0,6,-0.23636363636363636,21.0,0.556640625,10,exact sign enumeration of average signed ranks,0.556640625,post-audit expanded-reference sensitivity
HV_expanded_1p5,M100_bc,bc_effect_enhanced_state,100,EnhancedBC_R16,EnhancedNoBC_R16,10,-0.001545660045731756,-0.050447009405542254,0.01029262279164822,3,0,7,-0.41818181818181815,16.0,0.275390625,10,exact sign enumeration of average signed ranks,0.55078125,post-audit expanded-reference sensitivity
HV_expanded_1p5,M200_rollout,rollout8_vs_16,200,EnhancedBC_R8,EnhancedBC_R16,10,0.03574476511354541,0.018700144785269046,0.05992782321049939,9,0,1,0.7454545454545455,7.0,0.037109375,10,exact sign enumeration of average signed ranks,0.07421875,post-audit expanded-reference sensitivity
HV_expanded_1p5,M200_rollout,rollout32_vs_16,200,EnhancedBC_R32,EnhancedBC_R16,10,0.00875277412183939,-0.010831731482028761,0.04834321996636781,7,0,3,0.45454545454545453,15.0,0.232421875,10,exact sign enumeration of average signed ranks,0.232421875,post-audit expanded-reference sensitivity
HV_expanded_1p5,UCB_boundary,enhanced16_vs_ucb_g100,100,EnhancedBC_R16,UCBOnly,10,-0.02355043950504898,-0.08996236900576582,0.008348425407889604,4,0,6,-0.6,11.0,0.10546875,10,exact sign enumeration of average signed ranks,0.10546875,post-audit expanded-reference sensitivity
HV_expanded_1p5,UCB_boundary,enhanced16_vs_ucb_g200,200,EnhancedBC_R16,UCBOnly,10,-0.06830089236071513,-0.10689065148145183,-0.014765712683723205,2,0,8,-0.8181818181818182,5.0,0.01953125,10,exact sign enumeration of average signed ranks,0.0390625,post-audit expanded-reference sensitivity
HV_expanded_1p5,M100_interaction,state_by_bc_difference_in_differences,100,(EnhancedBC-EnhancedNoBC),(BasePaddedBC-BasePaddedNoBC),10,-0.00885209598803871,-0.033783826530150884,0.021933181172047345,5,0,5,-0.16363636363636364,23.0,0.6953125,10,exact sign enumeration of average signed ranks,0.6953125,post-audit expanded-reference sensitivity
