dataset,instance,variant,Budget,seed,normalized_min,normalized_max,coordinates_below_zero,coordinates_above_one,coordinates_above_reference,reference_dominates_front,front_points,front_path,front_sha256,outside_reference_points,inside_reference_points,outside_dimension_counts,outside_dimension_maxima,amended_fixed_box_hv_valid
Brandimarte,Mk01.fjs,UCBOnly,100,50,3.2297397080004535e-16,0.8636363636363635,0,0,0,True,92,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed50.pkl,e3fe2eb2425479456d5c4088632a6e4718f6bf951e81ada23ed7e960e4fd5ced,0,92,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,49,2.42230478100034e-16,0.590909090909091,0,0,0,True,64,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed49.pkl,bd10720a996d8c59b39b5117b343d2d7cd848e68fddfd7db76aea39b37d4b551,0,64,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,51,0.022727272727273037,0.7272727272727273,0,0,0,True,69,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed51.pkl,ea5faed5ca4d171c317f2761e4a509a86ec7d5e9aa707c58ed804fac144dc9a9,0,69,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,43,3.2297397080004535e-16,0.681818181818182,0,0,0,True,68,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed43.pkl,16eb9f2a8a475589eaf902c20637aaa58685344f7e1adb9430855540de911d42,0,68,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,45,3.2297397080004535e-16,0.7272727272727273,0,0,0,True,64,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed45.pkl,5a28d383c807f002c130274d9912928ab643afeb7f7595755662995337bc974a,0,64,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,51,4.0371746350005666e-16,0.7727272727272727,0,0,0,True,77,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed51.pkl,f2a34f3e14d24c055d886f71dd8a080b6959e325ec9ea0949fb5dd0fcca19b94,0,77,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,48,4.0371746350005666e-16,0.8636363636363635,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed48.pkl,0b2d969c0ab5ea399d7aa0d1e870f059c2eb6858bd015a75bd6f55475bf23cbf,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,44,2.42230478100034e-16,0.9999999999999999,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed44.pkl,13f3ca887ae07647dd92e96d9bb2491dfe38349abafbe802ba7b1783322c5ce8,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,47,-0.007490702911085851,0.7272727272727273,1,0,0,True,87,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed47.pkl,b81d2f53cca368c9840230c0224e59822950cb896e033c44d81c1ed85e42af1c,0,87,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,49,3.2297397080004535e-16,0.8636363636363635,0,0,0,True,56,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed49.pkl,0a28bf61fe2490f307f0416114b426bb3d7a0ecf02546569c9beef7e8c996bd3,0,56,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,49,3.2297397080004535e-16,0.6590909090909092,0,0,0,True,91,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed49.pkl,a9e9e137943dbbd3ef40d92ed5270b2f8ccb338e28cadb2e344fd6a29a2c3dce,0,91,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,44,2.42230478100034e-16,0.8863636363636362,0,0,0,True,93,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed44.pkl,0932c1300783044dd4e3bc186e95d6506a3a2aa28b744230fea1161826b05abe,0,93,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,45,3.2297397080004535e-16,0.6363636363636365,0,0,0,True,46,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed45.pkl,b1da57588d4f6a7d778a317959a99c945aa68db954b686763aea4416b2c75e5b,0,46,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,42,4.0371746350005666e-16,0.7272727272727273,0,0,0,True,67,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed42.pkl,3107bdbd8fc7cbc89b377a78e3b66653926abd509cdbd9f1fb76b9a978db3eeb,0,67,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
