contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_ucb_g100,100,1,0,20,-0.10384756336961432,-0.10474900797753742
online_minus_ucb_g100,100,1,1,20,-0.03061198275385585,-0.03949335065848492
online_minus_ucb_g100,100,1,2,20,-0.08406129780857263,-0.08476549588605746
online_minus_ucb_g100,100,1,3,20,-0.03543985710491082,-0.0347244857612789
online_minus_ucb_g100,100,1,4,20,-0.03556748636230783,-0.03331559396608222
online_minus_ucb_g100,100,2,0,20,-0.1157922946920486,-0.09948294050483197
online_minus_ucb_g100,100,2,1,20,-0.054681208613758914,-0.06936633262143567
online_minus_ucb_g100,100,2,2,20,-0.09946478820420346,-0.10077269179631179
online_minus_ucb_g100,100,2,3,20,-0.047216368146426047,-0.03778254725532697
online_minus_ucb_g100,100,2,4,20,-0.06315050960842628,-0.06243894704760726
online_minus_ucb_g100,100,3,0,20,-0.09521176755908672,-0.08633938081256848
online_minus_ucb_g100,100,3,1,20,-0.06080940929856388,-0.04723666983537754
online_minus_ucb_g100,100,3,2,20,-0.0985398285325167,-0.10162704056231842
online_minus_ucb_g100,100,3,3,20,-0.06784929776079451,-0.08581026899422287
online_minus_ucb_g100,100,3,4,20,-0.07853180347446165,-0.06617853128533577
online_minus_ucb_g100,100,4,0,20,-0.09145818594756411,-0.10655873237809899
online_minus_ucb_g100,100,4,1,20,-0.03822657020382203,-0.041225805174459534
online_minus_ucb_g100,100,4,2,20,-0.11367712123234963,-0.128803712199399
online_minus_ucb_g100,100,4,3,20,-0.046116465328727874,-0.07553854005792247
online_minus_ucb_g100,100,4,4,20,-0.11364925459911496,-0.11924742402104109
online_minus_ucb_g100,100,5,0,20,-0.08219266288381188,-0.09418792618010587
online_minus_ucb_g100,100,5,1,20,-0.057958952411999276,-0.06456494737952877
online_minus_ucb_g100,100,5,2,20,-0.044917843309754346,-0.0444532779805558
online_minus_ucb_g100,100,5,3,20,-0.05829111667853931,-0.06176643346962416
online_minus_ucb_g100,100,5,4,20,-0.05754205083260966,-0.0726485606735071
online_minus_scratch_g100,100,1,0,20,-0.0923321571522881,-0.08806344422038918
online_minus_scratch_g100,100,1,1,20,-0.04208529432256625,-0.041699192679865084
online_minus_scratch_g100,100,1,2,20,-0.06745242413320451,-0.07270816326178683
online_minus_scratch_g100,100,1,3,20,-0.06495046478403421,-0.02455980883167916
online_minus_scratch_g100,100,1,4,20,-0.02194669767917068,-0.028260624745175444
online_minus_scratch_g100,100,2,0,20,-0.12236120885030372,-0.10998737619608907
online_minus_scratch_g100,100,2,1,20,-0.07990802996892005,-0.07246024221339314
online_minus_scratch_g100,100,2,2,20,-0.06552671210187816,-0.08844887449104558
online_minus_scratch_g100,100,2,3,20,-0.06306491898111694,-0.04884224901218721
online_minus_scratch_g100,100,2,4,20,-0.06074080108829394,-0.07296917572413221
online_minus_scratch_g100,100,3,0,20,-0.08514663930931016,-0.0755440954220453
online_minus_scratch_g100,100,3,1,20,-0.07534937425960675,-0.05516003237339044
online_minus_scratch_g100,100,3,2,20,-0.09619280983627015,-0.09845924881471205
online_minus_scratch_g100,100,3,3,20,-0.08160365299953021,-0.08166018006994401
online_minus_scratch_g100,100,3,4,20,-0.06793499278250548,-0.06192508378532734
online_minus_scratch_g100,100,4,0,20,-0.09309357690966319,-0.1174490107116429
online_minus_scratch_g100,100,4,1,20,-0.046534345690239676,-0.02184525938076904
online_minus_scratch_g100,100,4,2,20,-0.12103293061906772,-0.12042345139961844
online_minus_scratch_g100,100,4,3,20,-0.054035296323240556,-0.058091956687961445
online_minus_scratch_g100,100,4,4,20,-0.09025421740684353,-0.09636855337828584
online_minus_scratch_g100,100,5,0,20,-0.07798113350868985,-0.07455484606784579
