Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
1,Brandimarte,Mk04.fjs,50,online_minus_ucb,best_makespan,-3.635699700993044,123.07505796365838,-2.954050772876007
1,Brandimarte,Mk04.fjs,100,online_minus_ucb,best_makespan,-1.9988922487625018,114.18334443805017,-1.750598792319483
1,Brandimarte,Mk04.fjs,200,online_minus_ucb,best_makespan,1.5872797018051301,103.93882439627838,1.5271287808234668
1,Brandimarte,Mk10.fjs,50,online_minus_ucb,best_makespan,3.896471172237625,628.9413045180745,0.619528586252304
1,Brandimarte,Mk10.fjs,100,online_minus_ucb,best_makespan,9.506715503321288,575.8586975524313,1.6508764291878586
1,Brandimarte,Mk10.fjs,200,online_minus_ucb,best_makespan,10.984046493651817,528.4524095853773,2.078530875139708
1,Hurink_edata,la05.fjs,50,online_minus_ucb,best_makespan,16.434115495259448,714.8689440148107,2.29889906854297
1,Hurink_edata,la05.fjs,100,online_minus_ucb,best_makespan,13.143273232700267,690.1675281234122,1.9043598397677808
1,Hurink_edata,la05.fjs,200,online_minus_ucb,best_makespan,43.76221367147116,643.3393807698442,6.802352689664924
1,Hurink_edata,la10.fjs,50,online_minus_ucb,best_makespan,16.230616525523146,1184.8552045795927,1.3698396616557085
1,Hurink_edata,la10.fjs,100,online_minus_ucb,best_makespan,27.119268478375716,1111.0842945800223,2.4407930712967643
1,Hurink_edata,la10.fjs,200,online_minus_ucb,best_makespan,44.04335794010012,1064.1757073496751,4.13872987664696
1,Hurink_edata,la15.fjs,50,online_minus_ucb,best_makespan,16.834693637618557,1630.1325951940362,1.0327192822995301
1,Hurink_edata,la15.fjs,100,online_minus_ucb,best_makespan,34.452965004665884,1572.7536190092653,2.1906142569469376
1,Hurink_edata,la15.fjs,200,online_minus_ucb,best_makespan,65.19271199761374,1517.1626133693128,4.297015456558994
1,Hurink_edata,la16.fjs,50,online_minus_ucb,best_makespan,50.403307264595924,1622.575761802081,3.1063761983364344
1,Hurink_edata,la16.fjs,100,online_minus_ucb,best_makespan,58.577727510568366,1513.6290914002857,3.8700186091413618
1,Hurink_edata,la16.fjs,200,online_minus_ucb,best_makespan,70.51195002525469,1428.7497234176394,4.935220554694957
1,Hurink_edata,la24.fjs,50,online_minus_ucb,best_makespan,29.786431863862617,2033.942070864407,1.4644680539600448
1,Hurink_edata,la24.fjs,100,online_minus_ucb,best_makespan,57.74045280744372,1930.3288464839509,2.9912236411229416
1,Hurink_edata,la24.fjs,200,online_minus_ucb,best_makespan,102.98970970358687,1822.77120423499,5.6501720821737065
1,Hurink_edata,la26.fjs,50,online_minus_ucb,best_makespan,47.01022890927561,2587.135107469122,1.8170766873966473
1,Hurink_edata,la26.fjs,100,online_minus_ucb,best_makespan,55.26321110797517,2392.763636573622,2.3095975826141655
1,Hurink_edata,la26.fjs,200,online_minus_ucb,best_makespan,111.18184116820794,2197.691332880172,5.059028968481174
1,Hurink_edata,la34.fjs,50,online_minus_ucb,best_makespan,71.89571836151708,3667.014376902169,1.960606394520148
1,Hurink_edata,la34.fjs,100,online_minus_ucb,best_makespan,26.61096627582583,3444.362231437962,0.7725948807862817
1,Hurink_edata,la34.fjs,200,online_minus_ucb,best_makespan,157.79038856306624,3235.246817462394,4.877228770039594
1,Hurink_edata,la37.fjs,50,online_minus_ucb,best_makespan,25.616739265375145,3399.743883774556,0.7534902669472335
1,Hurink_edata,la37.fjs,100,online_minus_ucb,best_makespan,103.29552587918624,3173.7166149671148,3.2547179981996144
1,Hurink_edata,la37.fjs,200,online_minus_ucb,best_makespan,224.10028948415265,2988.664635272388,7.498341795841141
2,Brandimarte,Mk02.fjs,50,online_minus_ucb,best_makespan,0.8377272344189848,53.84950543019667,1.5556823182060657
