contrast,Budget,front_extreme,n_instances,median_relative_change_percent,median_absolute_change,q25_relative_change_percent,q75_relative_change_percent,online_better,ties,online_worse
online_minus_scratch,50,best_energy_index,50,0.42637597640605696,226.99954136311862,0.1753455416533013,0.7711465857368209,9,0,41
online_minus_scratch,50,best_makespan,50,1.5785660612057897,22.907619768651898,0.3894373021723832,2.237028167386434,9,0,41
online_minus_scratch,50,best_workload_imbalance,50,0.0,0.0,-6.737905252897523e-14,3.750143491644878e-14,10,34,6
online_minus_scratch,100,best_energy_index,50,0.7939029159589442,471.83059681399027,0.5606584820889101,1.1589063069425825,3,0,47
online_minus_scratch,100,best_makespan,50,2.622434750801579,35.815766167918355,2.043530523047667,3.4591057350617205,5,0,45
online_minus_scratch,100,best_workload_imbalance,50,0.0,0.0,0.0,4.778503778503617e-14,6,39,5
online_minus_scratch,200,best_energy_index,50,1.7530611110098087,937.6081105575468,1.3813026979927403,2.507007056923692,1,0,49
online_minus_scratch,200,best_makespan,50,5.486898705385131,75.4939407754282,4.051103186577861,6.84302234613889,2,0,48
online_minus_scratch,200,best_workload_imbalance,50,3.7358221580706794e-14,5.684341886080802e-14,0.0,1.1109142738276287e-13,4,39,7
online_minus_ucb,50,best_energy_index,50,0.4600443146716272,248.76375534980434,0.3022901164483389,0.8744261846251431,4,0,46
online_minus_ucb,50,best_makespan,50,1.5055130198479239,26.80288548513431,1.0257274754387162,2.2006175144464146,6,0,44
online_minus_ucb,50,best_workload_imbalance,50,0.0,0.0,0.0,8.155318273187498e-14,8,35,7
online_minus_ucb,100,best_energy_index,50,0.9330486615063378,538.4910533684197,0.5797248762148323,1.2544979085661365,4,0,46
online_minus_ucb,100,best_makespan,50,2.434560521326036,38.41035090165883,1.661478728457979,3.1220109361150303,6,0,44
online_minus_ucb,100,best_workload_imbalance,50,1.2357264969740902e-14,8.215650382226158e-15,0.0,6.613871313096238e-14,5,37,8
online_minus_ucb,200,best_energy_index,50,1.9892904593627154,970.3227695535388,1.3127004087765748,2.5951058334777106,1,0,49
online_minus_ucb,200,best_makespan,50,4.997124761588065,68.15879902291806,3.54249016424432,6.540978564901806,2,0,48
online_minus_ucb,200,best_workload_imbalance,50,3.9231316942769703e-14,5.684341886080802e-14,0.0,1.226996874938958e-13,3,39,8
