variant,Budget,Initial_evaluations,Offspring_evaluations,Online_PPO_samples,Online_PPO_collected_transitions,Online_PPO_discarded_singletons,PPO_controlled_actions,Online_PPO_updates,Online_PPO_optimizer_steps,learning_time,elapsed_seconds,cpu_seconds,Offline_checkpoint_bytes,consumed_transition_fraction,updates_per_100_controlled_actions
ScratchNoBC_R16,50,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,0.0134406359866261,47.11693787574768,46.840611407999404,0.0,1.0,6.666666666666667
ScratchNoBC_R16,100,100.0,10000.0,30.0,30.0,0.0,30.0,2.0,8.0,0.03031842829659575,91.1279182434082,90.6494803620003,0.0,1.0,6.666666666666667
ScratchNoBC_R16,200,100.0,20000.0,128.0,129.0,0.0,129.0,8.0,32.0,0.11344667989760629,176.9743491411209,176.1603751955006,0.0,0.9922480620155039,6.2015503875969
UCBOnly,50,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.507591128349304,46.23465891249998,0.0,,
UCBOnly,100,100.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.90639746189117,89.5365135639999,0.0,,
UCBOnly,200,100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.92749154567719,176.02720087749913,0.0,,
XPrePPO_Frozen,50,100.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,45.252461194992065,45.01174827600016,669083.0,0.0,0.0
XPrePPO_Frozen,100,100.0,10000.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,87.8221663236618,87.40718225249998,669083.0,0.0,0.0
XPrePPO_Frozen,200,100.0,20000.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,169.29502964019775,168.53533757900004,669083.0,0.0,0.0
XPrePPO_Online_R16,50,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,0.0132566266693174,45.65041673183441,45.433714172000236,669083.0,1.0,6.666666666666667
XPrePPO_Online_R16,100,100.0,10000.0,30.0,30.0,0.0,30.0,2.0,8.0,0.02990923309698695,87.25104582309723,86.90016731649985,669083.0,1.0,6.666666666666667
XPrePPO_Online_R16,200,100.0,20000.0,128.0,129.0,0.0,129.0,8.0,32.0,0.11383593734353775,171.04567313194275,170.40478041349945,669083.0,0.9922480620155039,6.2015503875969
