variant,Budget,n_instances,HV_fixed_median,HV_fixed_mean,HV_fixed_valid_instances,HV_expanded_1p5_median,HV_expanded_1p5_mean,HV_expanded_1p5_valid_instances,IGDplus_fixed_median,IGDplus_fixed_mean,IGDplus_fixed_valid_instances
ScratchNoBC_R16,50,50,1.0329587122634576,1.0189884633028146,50,2.8234896978381276,2.8059275259346976,50,0.09416770814493201,0.09845343128008072,50
ScratchNoBC_R16,100,50,1.073465783515267,1.047222930098544,50,2.8906826901283993,2.856444202552471,50,0.08098087621796762,0.08896776349264857,50
ScratchNoBC_R16,200,50,1.0886631420447817,1.082327700262897,50,2.9440240459158282,2.921173339290832,50,0.07116841898972143,0.07971629740142357,50
UCBOnly,50,50,1.028775365198809,1.0281757323214809,50,2.822491625225725,2.8233826360129175,50,0.09087477185087396,0.09149582259687633,50
UCBOnly,100,50,1.077708205973272,1.0556544983242093,50,2.900264423954728,2.8728050238025644,50,0.07977893184408272,0.08673057680466295,50
UCBOnly,200,50,1.0885410288667272,1.082619221359611,50,2.9277676341927816,2.922386519002399,50,0.07571165757856568,0.08007109467176234,50
XPrePPO_Frozen,50,50,0.9859506618730094,0.9887439478259518,50,2.7384791012169014,2.7409356514319096,50,0.10271409712491122,0.10920747782755708,50
XPrePPO_Frozen,100,50,0.9897755888622527,0.975344136046768,50,2.747749875836444,2.713297397490728,50,0.11655740322352472,0.12066553808859153,50
XPrePPO_Frozen,200,50,0.9531850623671327,0.9181783796510744,50,2.6692679516961753,2.5960734931598064,50,0.13531187498550182,0.1591108135612669,50
XPrePPO_Online_R16,50,50,0.9859506618730094,0.9887030621021904,50,2.7384791012169014,2.7408560530735078,50,0.10271409712491122,0.10920747782755708,50
XPrePPO_Online_R16,100,50,0.9845468821333793,0.9759309869445226,50,2.744788909054207,2.714068208290018,50,0.1151304090452054,0.1205094481437044,50
XPrePPO_Online_R16,200,50,0.9459684707777054,0.9148573623078279,50,2.64749342373078,2.591355180163283,50,0.13683098132837876,0.16293502175731828,50
