Fold,dataset,instance,variant,Budget,seed,Replica,front_points,fixed_inside_points,fixed_excluded_points,fixed_invalid,above_fixed_cmax,above_fixed_energy,above_fixed_workload,expanded_1p5_invalid,normalized_min,normalized_max,front_path
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,42,0,40,40,0,False,0,0,0,False,2.5837917664003637e-16,0.790909090909091,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed42_rep0.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,43,1,46,46,0,False,0,0,0,False,3.2297397080004545e-16,0.6000000000000001,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed43_rep1.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,44,2,43,43,0,False,0,0,0,False,3.2297397080004545e-16,0.6636363636363637,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed44_rep2.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,45,3,57,57,0,False,0,0,0,False,3.2297397080004545e-16,0.6278442335253729,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed45_rep3.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,46,4,39,39,0,False,0,0,0,False,1.2918958832001818e-16,0.6636363636363637,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed46_rep4.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,47,0,40,40,0,False,0,0,0,False,3.8756876496005453e-16,0.7727272727272728,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed47_rep0.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,48,1,26,26,0,False,0,0,0,False,3.8756876496005453e-16,0.8090909090909092,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed48_rep1.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,49,2,41,41,0,False,0,0,0,False,-0.03485621967533798,0.7363636363636367,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed49_rep2.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,50,3,32,32,0,False,0,0,0,False,3.2297397080004545e-16,1.0,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed50_rep3.pkl
1,Brandimarte,Mk04.fjs,ScratchNoBC_R16,50,51,4,40,40,0,False,0,0,0,False,1.9378438248002726e-16,0.8727272727272728,/root/saos_resubmission_v5/results/resubmission/v7_cross_instance/fronts/fold1_Brandimarte_Mk04_ScratchNoBC_R16_g50_seed51_rep4.pkl
