dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,CPU_time,Learning_time,Initial_evaluations,Offspring_evaluations,Transition_gen,BC_final_accuracy,BC_pre_post_KL,Demo_nn_disagreement,PPO_samples,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,seed_count
Brandimarte,Mk02.fjs,100,BasePaddedBC_R16,0.980606895969699,2.765897849625584,0.09394550652537785,50.8798577470791,1604.7629214528415,2.9999999999999822,43.0,68.43744730949402,67.91335341,0.4674741923809051,100.0,10000.0,70.0,0.3142857253551483,0.3237626254558563,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,0.0008052635239437,2.1872549951076508,5
Brandimarte,Mk02.fjs,100,BasePaddedNoBC_R16,0.9783976941983781,2.761058824890668,0.09771776047374539,50.32775017979215,1608.0318639335949,2.999999999999986,38.0,68.62587785720825,68.158867738,0.0326000666245818,100.0,10000.0,70.0,0.0,0.0,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,0.0001043573574861,2.299512237310409,5
Brandimarte,Mk02.fjs,100,EnhancedBC_R16,0.9675880772237114,2.7440866108107604,0.10393367183511312,50.642520099343656,1611.8332522480234,2.999999999999986,38.0,68.91281056404114,68.421801101,0.5477202441543341,100.0,10000.0,70.0,0.4000000059604645,1.2042180299758911,0.8360655737704918,30.0,1.0,0.0,1.0,8.0,0.0072860365159742,2.194501489400864,5
Brandimarte,Mk02.fjs,100,EnhancedNoBC_R16,0.9750821383472179,2.7500046235119644,0.09771776047374539,50.32775017979215,1608.0318639335949,2.9999999999999822,46.0,61.47961235046387,61.116407799,0.0297469934448599,100.0,10000.0,70.0,0.0,0.0,0.8360655737704918,30.0,1.0,0.0,1.0,8.0,9.308409062214196e-05,2.298746347427368,5
Brandimarte,Mk02.fjs,100,UCBOnly,1.0280791766685908,2.844452111585443,0.07781878115703436,48.87635454184417,1605.1336571516288,2.999999999999986,38.0,59.63699078559876,59.192134787,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk02.fjs,200,EnhancedBC_R16,1.0883478944591427,2.951779980633361,0.0750095289160952,46.9563153815613,1562.266270301301,1.999999999999993,43.0,121.32942247390748,120.604624677,0.5909756375476718,100.0,20000.0,70.0,0.4285714328289032,1.113093614578247,0.803921568627451,130.0,8.0,0.0,1.0,36.0,0.0017608941107578,2.160822021961212,5
Brandimarte,Mk02.fjs,200,EnhancedBC_R32,1.0914111770893649,2.952349610568202,0.07260066109743522,46.01006117756906,1557.0933476686942,1.9999999999999891,42.0,118.58351254463196,117.877282932,0.5591924274340272,100.0,20000.0,70.0,0.4285714328289032,1.113093614578247,0.803921568627451,130.0,4.0,0.0,1.0,20.0,0.0044018870685249,2.1621823072433477,5
Brandimarte,Mk02.fjs,200,EnhancedBC_R8,1.1209040120414915,3.0116142499515446,0.07161596864785404,45.56385066282176,1563.632019422883,1.9999999999999891,49.0,120.29378962516785,119.53357477,0.7472472600638866,100.0,20000.0,70.0,0.4285714328289032,1.113093614578247,0.803921568627451,130.0,16.0,0.0,1.0,68.0,0.0008458097122217,2.103181866499094,5
Brandimarte,Mk02.fjs,200,UCBOnly,1.0614863948578668,2.9131883447061115,0.07575199781417297,46.15608766769306,1573.105358593293,1.999999999999993,49.0,118.93019104003906,118.23554213,0.0,100.0,20000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk04.fjs,100,BasePaddedBC_R16,0.9390613113871317,2.702869845177267,0.08741743099008675,112.15563369807342,3659.789478751675,35.99999999999998,51.0,74.17248177528381,73.709074283,0.4780783830210566,100.0,10000.0,70.0,0.2857142984867096,0.2731169760227203,0.9285714285714286,30.0,1.0,0.0,1.0,8.0,-0.0001713359670247,2.2636675238609314,5
