family,contrast,metric,endpoint_role,Budget,lhs,rhs,orientation,n_instances,median_delta_oriented,instance_bootstrap_ci95_low,instance_bootstrap_ci95_high,wins,ties,losses,rank_biserial,signed_rank_statistic,p_raw,n_nonzero,test_method,p_holm_within_family,holm_family_size,holm_significant_0_05
M100_state,enhanced_vs_padded_with_bc,HV_fixed,confirmatory primary,100,EnhancedBC_R16,BasePaddedBC_R16,positive favors lhs,30,0.00258988126065407,-0.008649917299924537,0.012503721349512775,15,0,15,0.13548387096774195,201.0,0.5290974709025291,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),1.0,2,False
M100_state,enhanced_vs_padded_without_bc,HV_fixed,confirmatory primary,100,EnhancedNoBC_R16,BasePaddedNoBC_R16,positive favors lhs,30,0.0,0.0,0.0,9,12,9,0.07602339181286549,79.0,0.7987060546875,18,exact paired Wilcoxon sign enumeration,1.0,2,False
M100_bc,bc_minus_no_bc_padded,HV_fixed,confirmatory primary,100,BasePaddedBC_R16,BasePaddedNoBC_R16,positive favors lhs,30,-0.006586962683380826,-0.01342647429484145,0.002362513924906273,12,0,18,-0.3118279569892473,160.0,0.1398978601021399,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.2797957202042798,2,False
M100_bc,bc_minus_no_bc_enhanced,HV_fixed,confirmatory primary,100,EnhancedBC_R16,EnhancedNoBC_R16,positive favors lhs,30,-0.0027659688691446527,-0.010273733254637318,0.006643628298327098,12,0,18,-0.10967741935483871,207.0,0.613029386970613,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.613029386970613,2,False
M200_rollout,rollout8_minus_rollout16,HV_fixed,confirmatory primary,200,EnhancedBC_R8,EnhancedBC_R16,positive favors lhs,30,0.00669378734919579,-0.006125225782928234,0.013034257453790388,17,0,13,0.1870967741935484,189.0,0.3822846177153823,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.7645692354307646,2,False
M200_rollout,rollout32_minus_rollout16,HV_fixed,confirmatory primary,200,EnhancedBC_R32,EnhancedBC_R16,positive favors lhs,30,0.0022070001364863367,-0.006780586639854036,0.011403276229462023,17,0,13,0.11397849462365592,206.0,0.597940402059598,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.7645692354307646,2,False
UCB_replication,enhanced16_minus_ucb_g100,HV_fixed,confirmatory primary,100,EnhancedBC_R16,UCBOnly,positive favors lhs,30,-0.011553708088380077,-0.016675912024357364,-0.00012615194731324664,10,0,20,-0.44086021505376344,130.0,0.03451796548203452,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.09736790263209735,3,False
UCB_replication,enhanced16_minus_ucb_g200,HV_fixed,confirmatory primary,200,EnhancedBC_R16,UCBOnly,positive favors lhs,30,-0.014586195433685556,-0.029533763013631087,-0.0022233979552311878,9,0,21,-0.44516129032258067,129.0,0.03245596754403245,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.09736790263209735,3,False
UCB_replication,enhanced8_minus_ucb_g200,HV_fixed,confirmatory primary,200,EnhancedBC_R8,UCBOnly,positive favors lhs,30,-0.014356478759975477,-0.028981563826565693,-0.0011125066772581516,9,0,21,-0.432258064516129,132.0,0.03816196183803816,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.09736790263209735,3,False
M100_interaction,state_by_bc_difference_in_differences,HV_fixed,confirmatory primary,100,(EnhancedBC_R16-EnhancedNoBC_R16),(BasePaddedBC_R16-BasePaddedNoBC_R16),positive favors lhs,30,0.0042692668984432025,-0.009939856508708045,0.011019627611911498,17,0,13,0.010752688172043012,230.0,0.9675450324549676,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.9675450324549676,1,False
