family,contrast,metric,endpoint_role,Budget,lhs,rhs,orientation,n_instances,median_delta_oriented,instance_bootstrap_ci95_low,instance_bootstrap_ci95_high,wins,ties,losses,rank_biserial,signed_rank_statistic,p_raw,n_nonzero,test_method,p_holm_within_family,holm_family_size,holm_significant_0_05
M100_state,enhanced_vs_padded_with_bc,IGDplus_fixed,supportive sensitivity,100,EnhancedBC_R16,BasePaddedBC_R16,positive favors lhs (lower raw metric is better),30,0.00038453224728242363,-0.003029741407744098,0.0046378309291060585,16,0,14,0.06236559139784946,218.0,0.7764782235217764,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.7764782235217764,2,False
M100_state,enhanced_vs_padded_without_bc,IGDplus_fixed,supportive sensitivity,100,EnhancedNoBC_R16,BasePaddedNoBC_R16,positive favors lhs (lower raw metric is better),30,0.0,0.0,0.0,8,20,2,0.5636363636363636,12.0,0.130859375,10,exact paired Wilcoxon sign enumeration,0.26171875,2,False
M100_bc,bc_minus_no_bc_padded,IGDplus_fixed,supportive sensitivity,100,BasePaddedBC_R16,BasePaddedNoBC_R16,positive favors lhs (lower raw metric is better),30,-0.0025011050404126975,-0.006189461220971488,0.001031857987062984,10,0,20,-0.17419354838709677,192.0,0.4166405833594166,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.8332811667188332,2,False
M100_bc,bc_minus_no_bc_enhanced,IGDplus_fixed,supportive sensitivity,100,EnhancedBC_R16,EnhancedNoBC_R16,positive favors lhs (lower raw metric is better),30,-0.0035013145519475278,-0.006407514843545591,0.004540151095185192,12,0,18,-0.1053763440860215,208.0,0.6258553741446259,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.8332811667188332,2,False
M200_rollout,rollout8_minus_rollout16,IGDplus_fixed,supportive sensitivity,200,EnhancedBC_R8,EnhancedBC_R16,positive favors lhs (lower raw metric is better),30,0.002848524304476279,-0.002429359333765882,0.008384034845515254,16,0,14,0.2731182795698925,169.0,0.1972868027131973,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.3945736054263946,2,False
M200_rollout,rollout32_minus_rollout16,IGDplus_fixed,supportive sensitivity,200,EnhancedBC_R32,EnhancedBC_R16,positive favors lhs (lower raw metric is better),30,0.0010716800254977205,-0.0030346345208750528,0.00997952498652729,16,0,14,0.2645161290322581,171.0,0.21218278781721217,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.3945736054263946,2,False
UCB_replication,enhanced16_minus_ucb_g100,IGDplus_fixed,supportive sensitivity,100,EnhancedBC_R16,UCBOnly,positive favors lhs (lower raw metric is better),30,-0.00022845084836894958,-0.009332972259436096,0.004501348341222754,15,0,15,-0.12258064516129032,204.0,0.5690564309435691,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.5690564309435691,3,False
UCB_replication,enhanced16_minus_ucb_g200,IGDplus_fixed,supportive sensitivity,200,EnhancedBC_R16,UCBOnly,positive favors lhs (lower raw metric is better),30,-0.002540736824948552,-0.018808472705362858,0.00027748474950572977,11,0,19,-0.4666666666666667,124.0,0.024845975154024844,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.07453792546207454,3,False
UCB_replication,enhanced8_minus_ucb_g200,IGDplus_fixed,supportive sensitivity,200,EnhancedBC_R8,UCBOnly,positive favors lhs (lower raw metric is better),30,-0.0021255709574692708,-0.007937306045672853,0.0031535503771821533,14,0,16,-0.23870967741935484,177.0,0.2622157377842622,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.5244314755685244,3,False
M100_interaction,state_by_bc_difference_in_differences,IGDplus_fixed,supportive sensitivity,100,(EnhancedBC_R16-EnhancedNoBC_R16),(BasePaddedBC_R16-BasePaddedNoBC_R16),positive favors lhs (lower raw metric is better),30,-0.0002557321866123452,-0.006022533270572242,0.002410284132924082,15,0,15,-0.1010752688172043,209.0,0.6402733597266402,30,paired Wilcoxon fixed-seed sign flip (1000000 resamples),0.6402733597266402,1,False
