dataset,instance,variant,Budget,seed,front_points,fixed_inside_points,fixed_excluded_points,fixed_invalid,above_fixed_cmax,above_fixed_energy,above_fixed_workload,expanded_1p5_invalid,normalized_min,normalized_max,front_path
Brandimarte,Mk02.fjs,BasePaddedBC_R16,100,52,48,48,0,False,0,0,0,False,0.013790824373735813,1.0,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedBC_R16_g100_seed52.pkl
Brandimarte,Mk02.fjs,BasePaddedBC_R16,100,53,43,43,0,False,0,0,0,False,0.05797412887177566,0.7837837837837838,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedBC_R16_g100_seed53.pkl
Brandimarte,Mk02.fjs,BasePaddedBC_R16,100,54,46,46,0,False,0,0,0,False,0.05079189013676171,0.7567567567567568,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedBC_R16_g100_seed54.pkl
Brandimarte,Mk02.fjs,BasePaddedBC_R16,100,55,39,39,0,False,0,0,0,False,0.013337846847396613,0.6486486486486487,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedBC_R16_g100_seed55.pkl
Brandimarte,Mk02.fjs,BasePaddedBC_R16,100,56,23,23,0,False,0,0,0,False,0.04339259064534503,0.5135135135135136,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedBC_R16_g100_seed56.pkl
Brandimarte,Mk02.fjs,BasePaddedNoBC_R16,100,52,36,36,0,False,0,0,0,False,0.011647512580372365,1.0,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedNoBC_R16_g100_seed52.pkl
Brandimarte,Mk02.fjs,BasePaddedNoBC_R16,100,53,46,46,0,False,0,0,0,False,0.05405405405405406,0.7837837837837838,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedNoBC_R16_g100_seed53.pkl
Brandimarte,Mk02.fjs,BasePaddedNoBC_R16,100,54,34,34,0,False,0,0,0,False,0.04734107712451614,0.7567567567567568,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedNoBC_R16_g100_seed54.pkl
Brandimarte,Mk02.fjs,BasePaddedNoBC_R16,100,55,38,38,0,False,0,0,0,False,0.020304795814142323,0.5675675675675675,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedNoBC_R16_g100_seed55.pkl
Brandimarte,Mk02.fjs,BasePaddedNoBC_R16,100,56,59,59,0,False,0,0,0,False,0.0787981762076307,0.7027027027027027,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_BasePaddedNoBC_R16_g100_seed56.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,100,52,55,55,0,False,0,0,0,False,0.029103954435016236,1.0,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g100_seed52.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,100,53,49,49,0,False,0,0,0,False,0.0701430733651747,0.7297297297297298,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g100_seed53.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,100,54,38,38,0,False,0,0,0,False,0.05193269366410817,0.7567567567567568,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g100_seed54.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,100,55,22,22,0,False,0,0,0,False,0.019615294310548585,0.4864864864864865,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g100_seed55.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,100,56,28,28,0,False,0,0,0,False,0.06267284229370085,0.5675675675675675,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g100_seed56.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,200,52,43,43,0,False,0,0,0,False,0.018489101960197367,0.4409988717699065,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g200_seed52.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,200,53,52,52,0,False,0,0,0,False,-0.011116179403434786,0.5128205128205128,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g200_seed53.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,200,54,66,66,0,False,0,0,0,False,0.05128205128205128,0.6153846153846154,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g200_seed54.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,200,55,41,41,0,False,0,0,0,False,0.0036190597007350893,0.46153846153846156,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g200_seed55.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R16,200,56,33,33,0,False,0,0,0,False,0.038149707233396855,0.5641025641025641,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R16_g200_seed56.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R32,200,52,42,42,0,False,0,0,0,False,0.01189404277497881,0.5384615384615385,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R32_g200_seed52.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R32,200,53,45,45,0,False,0,0,0,False,-0.0054277895039756,0.4615384615384616,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R32_g200_seed53.pkl
Brandimarte,Mk02.fjs,EnhancedBC_R32,200,54,29,29,0,False,0,0,0,False,0.05128205128205128,0.717948717948718,D:\Aproject\物流\controlled-aos-fjsp-agv-public\results\resubmission\v8_e4_replication\fronts\Brandimarte_Mk02_EnhancedBC_R32_g200_seed54.pkl
